Purity (precision)	Completeness (recall)	F1 score	Jaccard index	L1 norm error	Weighted UniFrac error	Method
Taxy-Pro2	0.305081557715	0.72913513908	0.402454307233	0.285645809614	0.7887362089	8.01889640919	Taxy-Pro2
Taxy-Pro1	0.35449948108	0.730508811849	0.447243539043	0.332464899378	0.772346326305	10.1828762045	Taxy-Pro1
Quickr	0.288253334726	0.785286652245	0.402345496248	0.276270251056	0.892569303798	9.32509620749	Quickr
CLARK	0.252877312515	0.800541995898	0.355747612704	0.252286532525	0.836991565298	8.15475313262	CLARK
metalign_default	0.715746201076	0.851369645234	0.752317873957	0.645450314544	0.560048296688	8.80159180458	metalign_default
metalign_sensitve	0.372071293325	0.92388187723	0.500490938953	0.366702198169	0.636373108968	8.89831406563	metalign_sensitve
FOCUS	0.437555035948	0.643431633547	0.504394258012	0.387685319163	0.748970092104	10.0521137947	FOCUS
CommonKmers	0.775725644052	0.469662579171	0.564569911082	0.428893250682	0.851561974773	10.4559894076	CommonKmers
mOTU	0.636833949867	0.587030481669	0.595337807181	0.489142593441	0.995918671591	10.8576336993	mOTU
Metaphlan2	0.831737965556	0.557655979675	0.651313425225	0.532087338518	1.0626475086	10.8981548742	Metaphlan2
TIPP	0.389691380133	0.743814495997	0.481185093017	0.368148996708	0.724569328662	9.82796704567	TIPP
Metaphyler	0.360314854959	0.736069932681	0.450053925739	0.338729999568	0.646290789626	9.57467805286	Metaphyler
metalign_precise	0.77980758339	0.67449237666	0.704802079005	0.566614657848	0.568191682168	8.89237009609	metalign_precise
