Purity (precision)	Completeness (recall)	F1 score	Jaccard index	L1 norm error	Weighted UniFrac error	Method
Taxy-Pro2	0.111117569717	0.422351234869	0.169723685176	0.0944321107896	1.38866994055	8.01889640919	Taxy-Pro2
Taxy-Pro1	0.129886934745	0.395507180855	0.188212018664	0.105713795011	1.36957574281	10.1828762045	Taxy-Pro1
Quickr	0.142869790072	0.59587892868	0.223361364316	0.128455457465	1.5029086515	9.32509620749	Quickr
CLARK	0.0675813057829	0.671617804295	0.120738235568	0.0651771537137	1.19894077441	8.15475313262	CLARK
metalign_default	0.783528779173	0.802595799728	0.790543963362	0.655867921434	0.509029846648	8.80159180458	metalign_default
metalign_sensitve	0.207372734741	0.939985743892	0.337122919147	0.204559033197	0.647130243482	8.89831406563	metalign_sensitve
FOCUS	0.208532310208	0.298844496218	0.239395005877	0.137939694211	1.28542616425	10.0521137947	FOCUS
CommonKmers	0.681932219087	0.304773816281	0.404291267971	0.255681384801	1.25718764519	10.4559894076	CommonKmers
mOTU	0.264296630691	0.351781023536	0.291801974285	0.173193164928	1.41076001279	10.8576336993	mOTU
Metaphlan2	0.778522322827	0.343388234751	0.47475791954	0.312092571089	1.42728437913	10.8981548742	Metaphlan2
TIPP	0.147625943898	0.427476998825	0.211356460636	0.12053509564	1.23526458035	9.82796704567	TIPP
Metaphyler	0.112896930022	0.43404734876	0.173198143909	0.0964425181187	1.1931161763	9.57467805286	Metaphyler
metalign_precise	0.864575338443	0.603441761157	0.707848310778	0.548739920353	0.534305158626	8.89237009609	metalign_precise
