Purity (precision)	Completeness (recall)	F1 score	Jaccard index	L1 norm error	Weighted UniFrac error	Method
Taxy-Pro2	0.0	0.0	0.0	0.0	2.0	8.01889640919	Taxy-Pro2
Taxy-Pro1	0.0086682013149	0.0661399624262	0.014481801973	0.00732240930914	1.93754245298	10.1828762045	Taxy-Pro1
Quickr	0.0269423716149	0.192655215602	0.0453489839796	0.0232486732847	1.92282032202	9.32509620749	Quickr
CLARK	0.0	0.0	0.0	0.0	2.0	8.15475313262	CLARK
FOCUS	0.00850994243851	0.0317028985507	0.0131431348162	0.00669756815962	1.95639952069	10.0521137947	FOCUS
CommonKmers	0.122550088531	0.136677513867	0.124004669407	0.0677853824682	1.90628049181	10.4559894076	CommonKmers
metalign	0.170760990907	0.607599749508	0.264834997905	0.152715125356	1.71411784435	8.02845717237	metalign
Metaphlan2	0.330872130577	0.117644592056	0.167536599378	0.102110920214	1.91463629593	10.8979713319	Metaphlan2
TIPP	0.00857926144136	0.0684855296117	0.0145925965819	0.00737485434111	1.9361162953	9.82796704567	TIPP
mOTU	0.0222305538558	0.0805097065665	0.0337671730871	0.0175389435881	1.93613367367	10.8576336993	mOTU
Metaphyler	0.00467573616613	0.0702216407228	0.00847814986899	0.00426462368376	1.93669453934	9.57467805286	Metaphyler
