tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S001	8.622873785182689	9580.981706283312	1.9294293648642833	0.051210428305400374	0.05844845908607864	0.05459057071960298	55.0	886.0	1019.0	941.0	0.02806122448979592	5.875673236641665	0.8581454697165004	0.9647146824321418
metalign_precise	CAMI_HIGH_S001	8.731291310947514	9803.370278556185	1.942147479327314	0.025139664804469275	0.09747292418772563	0.039970392301998524	27.0	250.0	1047.0	277.0	0.02039274924471299	5.376971062366319	0.9560729596682038	0.971073739663657
metalign_sensitve	CAMI_HIGH_S001	8.73056253585983	53347.96363889175	1.9291129754186864	0.055865921787709494	0.009839291571006888	0.016731734523145567	60.0	6038.0	1014.0	6098.0	0.00843644544431946	7.1456804016465085	0.819861534849764	0.964556487709344
CLARK	CAMI_HIGH_S001	7.426093292009999	12138.999531547519	na	0.0	0.0	na	0.0	0.0	1074.0	0.0	0.0	na	na	na
CommonKmers	CAMI_HIGH_S001	9.987072380266529	10655.63778124476	1.9999999999999998	0.0	0.0	na	0.0	66.0	1074.0	66.0	0.0	3.4482198737739265	0.8230319885752958	1.0
FOCUS	CAMI_HIGH_S001	9.59217858455366	10094.995901268145	1.9999999999999991	0.0	0.0	na	0.0	278.0	1074.0	278.0	0.0	5.086565098794453	0.9038570642966838	1.0
Metaphlan2	CAMI_HIGH_S001	10.179222396129761	11066.589584478794	2.000000000000001	0.0	0.0	na	0.0	28.0	1074.0	28.0	0.0	1.966324668901146	0.5900972352977695	1.0
Metaphyler	CAMI_HIGH_S001	9.197473172480608	15137.015304430774	na	0.0	0.0	na	0.0	0.0	1074.0	0.0	0.0	na	na	na
mOTU	CAMI_HIGH_S001	10.242440447230534	10622.034079847408	na	0.0	0.0	na	0.0	0.0	1074.0	0.0	0.0	na	na	na
Quickr	CAMI_HIGH_S001	9.026081681106907	12892.81546491815	na	0.0	0.0	na	0.0	0.0	1074.0	0.0	0.0	na	na	na
Taxy-Pro1	CAMI_HIGH_S001	9.714430813468141	14327.415694942389	1.9999999999999998	0.0	0.0	na	0.0	918.0	1074.0	918.0	0.0	5.152603442255698	0.755270354583959	1.0
Taxy-Pro2	CAMI_HIGH_S001	7.5117227991583295	10263.031401629638	na	0.0	0.0	na	0.0	0.0	1074.0	0.0	0.0	na	na	na
TIPP	CAMI_HIGH_S001	9.312874719584153	10679.959247702653	na	0.0	0.0	na	0.0	0.0	1074.0	0.0	0.0	na	na	na
