tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S002	8.641514738457257	10369.978772519826	0.6969007975115666	0.9	0.6792452830188679	0.7741935483870968	36.0	17.0	4.0	53.0	0.631578947368421	2.9428797482997293	0.7412250314024914	0.3484503987557834
metalign_precise	CAMI_HIGH_S002	8.78508233249871	9788.387720564426	0.7036244286454694	0.7	0.717948717948718	0.708860759493671	28.0	11.0	12.0	39.0	0.5490196078431373	2.9043738426284795	0.7927732963622416	0.3518122143227347
metalign_sensitve	CAMI_HIGH_S002	8.78478708197274	54961.96643875519	0.8163058848001659	0.95	0.3877551020408163	0.5507246376811594	38.0	60.0	2.0	98.0	0.38	2.931577970904904	0.6393890435521531	0.4081529424000829
CLARK	CAMI_HIGH_S002	7.508542731675692	12161.000744246614	0.49370110109208043	1.0	0.2857142857142857	0.4444444444444445	40.0	100.0	0.0	140.0	0.2857142857142857	2.3803590520029174	0.48169390830711534	0.24685055054604021
CommonKmers	CAMI_HIGH_S002	9.978667581119495	10300.389563044237	0.5871820206888586	0.5	1.0	0.6666666666666666	20.0	0.0	20.0	20.0	0.5	2.2398077941253836	0.7476662096603796	0.2935910103444293
FOCUS	CAMI_HIGH_S002	9.658167691457189	10023.859144534998	0.38249396794023705	0.85	0.5230769230769231	0.6476190476190476	34.0	31.0	6.0	65.0	0.4788732394366197	2.9217047261609923	0.6999122355588339	0.19124698397011838
Metaphlan2	CAMI_HIGH_S002	10.490102764019092	11044.8090035269	1.1355514043745365	0.75	0.8571428571428571	0.7999999999999999	30.0	5.0	10.0	35.0	0.6666666666666666	2.51988271197377	0.7087583742555253	0.5677757021872681
Metaphyler	CAMI_HIGH_S002	9.220528347728164	15393.018133863296	0.22249561387328867	0.975	0.4020618556701031	0.5693430656934306	39.0	58.0	1.0	97.0	0.3979591836734694	2.6737015701577183	0.5844525660137813	0.11124780693664435
mOTU	CAMI_HIGH_S002	10.188374339275654	10712.995697781478	0.7323318068393787	0.75	0.75	0.75	30.0	10.0	10.0	40.0	0.6	2.3284195084482047	0.6311996738878224	0.3661659034196895
Quickr	CAMI_HIGH_S002	9.06845880951142	13270.786269471833	0.6703422326277807	1.0	0.35714285714285715	0.5263157894736842	40.0	72.0	0.0	112.0	0.35714285714285715	3.5902310113413267	0.7608841517759884	0.33517111631389035
Taxy-Pro1	CAMI_HIGH_S002	9.724237860253284	14784.382011122116	0.40355672496713507	1.0	0.40816326530612246	0.5797101449275363	40.0	58.0	0.0	98.0	0.40816326530612246	2.970454103555164	0.6478680857331747	0.2017783624835676
Taxy-Pro2	CAMI_HIGH_S002	7.5373857291801905	10163.03629134687	0.41241979509567467	1.0	0.37383177570093457	0.5442176870748299	40.0	67.0	0.0	107.0	0.37383177570093457	2.9879418876782244	0.6394289184406425	0.2062098975478374
TIPP	CAMI_HIGH_S002	9.41164782312531	10907.82087507199	0.37618427221239886	1.0	0.449438202247191	0.6201550387596899	40.0	49.0	0.0	89.0	0.449438202247191	2.567426566119883	0.5528015668522935	0.18809213610619938
