tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S002	8.641514738457257	10369.978772519826	0.01578342804274976	1.0	0.5	0.6666666666666666	2.0	2.0	0.0	4.0	0.5	0.07391436486861185	0.05331794382320187	0.00789171402137488
metalign_precise	CAMI_HIGH_S002	8.78508233249871	9788.387720564426	0.016177733727997398	1.0	0.5	0.6666666666666666	2.0	2.0	0.0	4.0	0.5	0.07528220436129765	0.05430463144961681	0.008088866863998697
metalign_sensitve	CAMI_HIGH_S002	8.78478708197274	54961.96643875519	0.05289426013179015	1.0	0.5	0.6666666666666666	2.0	2.0	0.0	4.0	0.5	0.14606353163830674	0.10536256637465667	0.026447130065895073
CLARK	CAMI_HIGH_S002	7.508542731675692	12161.000744246614	0.010645339632062083	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.07100909116368043	0.06463526022430306	0.005322669816031042
CommonKmers	CAMI_HIGH_S002	9.978667581119495	10300.389563044237	0.011602512906968104	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.07268609154524552	0.10486386381392693	0.005801256453484052
FOCUS	CAMI_HIGH_S002	9.658167691457189	10023.859144534998	0.03829863196311952	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.12457963335761704	0.17973041924079938	0.01914931598155976
Metaphlan2	CAMI_HIGH_S002	10.490102764019092	11044.8090035269	0.07648063648337428	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.18720032902273442	0.27007298633388127	0.03824031824168714
Metaphyler	CAMI_HIGH_S002	9.220528347728164	15393.018133863296	0.0008189440609840282	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.04841230399679902	0.06984419089419089	0.0004094720304920141
mOTU	CAMI_HIGH_S002	10.188374339275654	10712.995697781478	0.1663203380868653	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3051437214554258	0.440229333702146	0.08316016904343265
Quickr	CAMI_HIGH_S002	9.06845880951142	13270.786269471833	0.076339725375939	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.21793825911643594	0.19837595243054393	0.0381698626879695
Taxy-Pro1	CAMI_HIGH_S002	9.724237860253284	14784.382011122116	0.005274623623724538	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.033226627168259956	0.047935890241115144	0.0026373118118622686
Taxy-Pro2	CAMI_HIGH_S002	7.5373857291801905	10163.03629134687	0.005421490902846295	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.03286776157789859	0.029917525879621692	0.002710745451423148
TIPP	CAMI_HIGH_S002	9.41164782312531	10907.82087507199	0.007346881962754047	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.06342159170960113	0.09149801584472614	0.003673440981377024
