tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S004	8.591563044615045	9109.988262549998	0.2882150486592414	0.8977272727272727	0.8315789473684211	0.8633879781420765	79.0	16.0	9.0	95.0	0.7596153846153846	3.6158168623677693	0.7940084785860179	0.14410752432962076
metalign_precise	CAMI_HIGH_S004	8.7312746661647	9882.392140830807	0.3006266570953142	0.625	0.873015873015873	0.728476821192053	55.0	8.0	33.0	63.0	0.5729166666666666	3.523300112351372	0.8503947723225486	0.15031332854765714
metalign_sensitve	CAMI_HIGH_S004	8.74157332934259	58498.9750520027	0.4145348685002851	0.9659090909090909	0.4521276595744681	0.6159420289855072	85.0	103.0	3.0	188.0	0.44502617801047123	3.6227153333000497	0.6918276491967864	0.2072674342501425
CLARK	CAMI_HIGH_S004	7.46782918383144	12096.995107053806	0.7918077092584183	0.9659090909090909	0.24216524216524216	0.38724373576309795	85.0	266.0	3.0	351.0	0.2401129943502825	3.2183692576910685	0.5491360945405439	0.395903854629209
CommonKmers	CAMI_HIGH_S004	9.866587241316893	10367.5896100667	0.8887365737520178	0.4659090909090909	1.0	0.6356589147286822	41.0	0.0	47.0	41.0	0.4659090909090909	3.0812439815264216	0.8297251073037449	0.44436828687600893
FOCUS	CAMI_HIGH_S004	9.523058048055162	10062.936641714945	0.5521881861643695	0.7613636363636364	0.5537190082644629	0.6411483253588517	67.0	54.0	21.0	121.0	0.47183098591549294	4.007916422226155	0.8357154850947414	0.2760940930821848
Metaphlan2	CAMI_HIGH_S004	10.247383892883777	11177.48295036303	1.1991721120354129	0.6022727272727273	0.9298245614035088	0.7310344827586207	53.0	4.0	35.0	57.0	0.5760869565217391	2.9604362150447905	0.7322282155057593	0.5995860560177063
Metaphyler	CAMI_HIGH_S004	9.180904992235213	15188.995976351913	0.38962424550553565	0.9318181818181818	0.38497652582159625	0.5448504983388703	82.0	131.0	6.0	213.0	0.3744292237442922	3.9021686433326437	0.7278410731447789	0.19481212275276807
mOTU	CAMI_HIGH_S004	10.096510252479494	10575.09952047731	0.9868809334433796	0.7159090909090909	0.6702127659574468	0.6923076923076923	63.0	31.0	25.0	94.0	0.5294117647058824	3.1182739172765284	0.6863463778413514	0.4934404667216898
Quickr	CAMI_HIGH_S004	8.961687976756465	13091.791124204621	0.9225305120266405	0.9090909090909091	0.3755868544600939	0.53156146179402	80.0	133.0	8.0	213.0	0.36199095022624433	4.6694293651954935	0.8709522295876628	0.4612652560133202
Taxy-Pro1	CAMI_HIGH_S004	9.66527284051655	14918.387715174544	0.674436895829541	0.8863636363636364	0.38235294117647056	0.5342465753424658	78.0	126.0	10.0	204.0	0.3644859813084112	4.049618792467837	0.7614756337117847	0.3372184479147709
Taxy-Pro2	CAMI_HIGH_S004	7.461337958541097	10386.05637075638	0.6861549193099572	0.9204545454545454	0.34913793103448276	0.50625	81.0	151.0	7.0	232.0	0.3389121338912134	4.104106331554063	0.7534981129994344	0.34307745965497866
TIPP	CAMI_HIGH_S004	9.352966415780877	10689.871370560924	0.46114141577031936	0.9431818181818182	0.45108695652173914	0.6102941176470589	83.0	101.0	5.0	184.0	0.43915343915343913	3.823743939258061	0.7054181810045325	0.23057070788515951
