tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.06873000877546731
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.09915644282062162
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S004	1.3384852251913892
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S004	0.538646079644715
Gold standard	class	Shannon diversity	CAMI_HIGH_S004	2.1405711825160827
Gold standard	class	Shannon equitability	CAMI_HIGH_S004	0.7030893108203596
Gold standard	order	Shannon diversity	CAMI_HIGH_S004	2.7616607787511622
Gold standard	order	Shannon equitability	CAMI_HIGH_S004	0.7486448969405288
Gold standard	family	Shannon diversity	CAMI_HIGH_S004	3.728430574374637
Gold standard	family	Shannon equitability	CAMI_HIGH_S004	0.8327339954229358
Gold standard	genus	Shannon diversity	CAMI_HIGH_S004	4.560848606005162
Gold standard	genus	Shannon equitability	CAMI_HIGH_S004	0.8657880429370028
Gold standard	species	Shannon diversity	CAMI_HIGH_S004	1.9752487345988403
Gold standard	species	Shannon equitability	CAMI_HIGH_S004	0.3595897761153775
Gold standard	strain	Shannon diversity	CAMI_HIGH_S004	6.59574139194131
Gold standard	strain	Shannon equitability	CAMI_HIGH_S004	0.945064349857122
Gold standard	phylum	F1 score	CAMI_HIGH_S004	1.0
Gold standard	phylum	False negatives	CAMI_HIGH_S004	0.0
Gold standard	phylum	False positives	CAMI_HIGH_S004	0.0
Gold standard	phylum	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	phylum	Taxon counts	CAMI_HIGH_S004	12.0
Gold standard	phylum	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	phylum	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	phylum	True positives	CAMI_HIGH_S004	12.0
Gold standard	superkingdom	F1 score	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S004	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S004	2.0
Gold standard	species	F1 score	CAMI_HIGH_S004	1.0
Gold standard	species	False negatives	CAMI_HIGH_S004	0.0
Gold standard	species	False positives	CAMI_HIGH_S004	0.0
Gold standard	species	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	species	Taxon counts	CAMI_HIGH_S004	243.0
Gold standard	species	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	species	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	species	True positives	CAMI_HIGH_S004	243.0
Gold standard	strain	F1 score	CAMI_HIGH_S004	1.0
Gold standard	strain	False negatives	CAMI_HIGH_S004	0.0
Gold standard	strain	False positives	CAMI_HIGH_S004	0.0
Gold standard	strain	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	strain	Taxon counts	CAMI_HIGH_S004	1074.0
Gold standard	strain	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	strain	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	strain	True positives	CAMI_HIGH_S004	1074.0
Gold standard	genus	F1 score	CAMI_HIGH_S004	1.0
Gold standard	genus	False negatives	CAMI_HIGH_S004	0.0
Gold standard	genus	False positives	CAMI_HIGH_S004	0.0
Gold standard	genus	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	genus	Taxon counts	CAMI_HIGH_S004	194.0
Gold standard	genus	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	genus	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	genus	True positives	CAMI_HIGH_S004	194.0
Gold standard	order	F1 score	CAMI_HIGH_S004	1.0
Gold standard	order	False negatives	CAMI_HIGH_S004	0.0
Gold standard	order	False positives	CAMI_HIGH_S004	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S004	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	order	True positives	CAMI_HIGH_S004	40.0
Gold standard	family	F1 score	CAMI_HIGH_S004	1.0
Gold standard	family	False negatives	CAMI_HIGH_S004	0.0
Gold standard	family	False positives	CAMI_HIGH_S004	0.0
Gold standard	family	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	family	Taxon counts	CAMI_HIGH_S004	88.0
Gold standard	family	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	family	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	family	True positives	CAMI_HIGH_S004	88.0
Gold standard	class	F1 score	CAMI_HIGH_S004	1.0
Gold standard	class	False negatives	CAMI_HIGH_S004	0.0
Gold standard	class	False positives	CAMI_HIGH_S004	0.0
Gold standard	class	Jaccard index	CAMI_HIGH_S004	1.0
Gold standard	class	Taxon counts	CAMI_HIGH_S004	21.0
Gold standard	class	Purity (precision)	CAMI_HIGH_S004	1.0
Gold standard	class	Completeness (recall)	CAMI_HIGH_S004	1.0
Gold standard	class	True positives	CAMI_HIGH_S004	21.0
Gold standard	class	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	family	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	genus	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	order	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	phylum	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	species	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	strain	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	superkingdom	L1 norm error	CAMI_HIGH_S004	0.0
Gold standard	na	Weighted UniFrac error	CAMI_HIGH_S004	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_HIGH_S004	0.0
metalign_default	class	Bray-Curtis distance	CAMI_HIGH_S004	0.08229152879782765
metalign_default	family	Bray-Curtis distance	CAMI_HIGH_S004	0.14410752432962076
metalign_default	genus	Bray-Curtis distance	CAMI_HIGH_S004	0.21128861448669936
metalign_default	order	Bray-Curtis distance	CAMI_HIGH_S004	0.3371888206669925
metalign_default	phylum	Bray-Curtis distance	CAMI_HIGH_S004	0.03487694149072545
metalign_default	species	Bray-Curtis distance	CAMI_HIGH_S004	0.8877226803707587
metalign_default	strain	Bray-Curtis distance	CAMI_HIGH_S004	0.9650391048826852
metalign_default	superkingdom	Bray-Curtis distance	CAMI_HIGH_S004	0.01159270804877077
metalign_default	superkingdom	Shannon diversity	CAMI_HIGH_S004	0.10633322829567353
metalign_default	superkingdom	Shannon equitability	CAMI_HIGH_S004	0.0767032105719411
metalign_default	phylum	Shannon diversity	CAMI_HIGH_S004	1.2261306389948066
metalign_default	phylum	Shannon equitability	CAMI_HIGH_S004	0.5113361925785435
metalign_default	class	Shannon diversity	CAMI_HIGH_S004	2.089746131436131
metalign_default	class	Shannon equitability	CAMI_HIGH_S004	0.6575552973586157
metalign_default	order	Shannon diversity	CAMI_HIGH_S004	2.9658681254957977
metalign_default	order	Shannon equitability	CAMI_HIGH_S004	0.7435146620980623
metalign_default	family	Shannon diversity	CAMI_HIGH_S004	3.6158168623677693
metalign_default	family	Shannon equitability	CAMI_HIGH_S004	0.7940084785860179
metalign_default	genus	Shannon diversity	CAMI_HIGH_S004	4.386769565703415
metalign_default	genus	Shannon equitability	CAMI_HIGH_S004	0.8264032290329042
metalign_default	species	Shannon diversity	CAMI_HIGH_S004	6.0112319828959215
metalign_default	species	Shannon equitability	CAMI_HIGH_S004	0.8825453395537018
metalign_default	strain	Shannon diversity	CAMI_HIGH_S004	6.011231982895922
metalign_default	strain	Shannon equitability	CAMI_HIGH_S004	0.882545339553702
metalign_default	phylum	F1 score	CAMI_HIGH_S004	0.9565217391304348
metalign_default	phylum	False negatives	CAMI_HIGH_S004	1.0
metalign_default	phylum	False positives	CAMI_HIGH_S004	0.0
metalign_default	phylum	Jaccard index	CAMI_HIGH_S004	0.9166666666666666
metalign_default	phylum	Taxon counts	CAMI_HIGH_S004	11.0
metalign_default	phylum	Purity (precision)	CAMI_HIGH_S004	1.0
metalign_default	phylum	Completeness (recall)	CAMI_HIGH_S004	0.9166666666666666
metalign_default	phylum	True positives	CAMI_HIGH_S004	11.0
metalign_default	superkingdom	F1 score	CAMI_HIGH_S004	0.6666666666666666
metalign_default	superkingdom	False negatives	CAMI_HIGH_S004	0.0
metalign_default	superkingdom	False positives	CAMI_HIGH_S004	2.0
metalign_default	superkingdom	Jaccard index	CAMI_HIGH_S004	0.5
