tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S005	8.62453946803338	9275.99720267497	0.16581964703174312	0.9523809523809523	0.8	0.8695652173913043	20.0	5.0	1.0	25.0	0.7692307692307693	2.0923704244723296	0.6500314203819911	0.08290982351587156
metalign_precise	CAMI_HIGH_S005	8.763879786053373	9738.357348792364	0.1616745337170026	0.7619047619047619	0.8	0.7804878048780488	16.0	4.0	5.0	20.0	0.64	2.0842919051984863	0.6957537305981565	0.08083726685850129
metalign_sensitve	CAMI_HIGH_S005	8.803433631411258	57902.98964132404	0.27139334074344856	0.9523809523809523	0.46511627906976744	0.625	20.0	23.0	1.0	43.0	0.45454545454545453	1.9932716688606849	0.5299562925524177	0.1356966703717243
CLARK	CAMI_HIGH_S005	7.50876885133505	12122.00114526892	0.38115427581236977	1.0	0.3559322033898305	0.525	21.0	38.0	0.0	59.0	0.3559322033898305	1.923862695586565	0.47181974955544964	0.19057713790618483
CommonKmers	CAMI_HIGH_S005	9.846750510755852	10200.864266413946	0.3462849096347685	0.5238095238095238	0.9166666666666666	0.6666666666666667	11.0	1.0	10.0	12.0	0.5	1.8459330239894658	0.7428580965594629	0.1731424548173843
FOCUS	CAMI_HIGH_S005	9.536079877381518	10055.871645380648	0.18266665986629216	0.8571428571428571	0.6	0.7058823529411764	18.0	12.0	3.0	30.0	0.5454545454545454	2.1552865007118784	0.6336846289287087	0.09133332993314609
Metaphlan2	CAMI_HIGH_S005	10.456179777093649	11033.42577206436	0.818330690409489	0.6666666666666666	0.875	0.7567567567567567	14.0	2.0	7.0	16.0	0.6086956521739131	2.0649032196372894	0.7447564087215929	0.4091653452047444
Metaphyler	CAMI_HIGH_S005	9.185039708126375	15229.012348969376	0.17069933416122268	0.9523809523809523	0.47619047619047616	0.634920634920635	20.0	22.0	1.0	42.0	0.46511627906976744	1.9763514620678586	0.5287656919702696	0.08534966708061133
mOTU	CAMI_HIGH_S005	10.138406816052953	10394.126371717204	0.539072750384133	0.7142857142857143	1.0	0.8333333333333333	15.0	0.0	6.0	15.0	0.7142857142857143	1.8967387776069338	0.7004075392822989	0.2695363751920665
Quickr	CAMI_HIGH_S005	9.128505305309641	13645.78926424673	0.3998924775581797	1.0	0.39622641509433965	0.5675675675675675	21.0	32.0	0.0	53.0	0.39622641509433965	2.6925879904252086	0.6781838839694325	0.19994623877908985
Taxy-Pro1	CAMI_HIGH_S005	9.691290141778696	15230.406923404955	0.1971232777574848	1.0	0.45652173913043476	0.626865671641791	21.0	25.0	0.0	46.0	0.45652173913043476	2.1359265194024752	0.5578810596785436	0.0985616388787424
Taxy-Pro2	CAMI_HIGH_S005	7.49736691449363	10221.035226760914	0.19908077728328674	1.0	0.42	0.5915492957746479	21.0	29.0	0.0	50.0	0.42	2.1410770432913133	0.5473068640753012	0.09954038864164337
TIPP	CAMI_HIGH_S005	9.384674217526042	10792.428599752122	0.31273205958600314	1.0	0.525	0.6885245901639345	21.0	19.0	0.0	40.0	0.525	1.8419204809221021	0.4758007852684784	0.1563660297930016
