tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S005	8.62453946803338	9275.99720267497	0.4272054076751045	0.8505154639175257	0.8088235294117647	0.8291457286432161	165.0	39.0	29.0	204.0	0.7081545064377682	4.397517881651679	0.8268933169506999	0.21360270383755223
metalign_precise	CAMI_HIGH_S005	8.763879786053373	9738.357348792364	0.4701193970756471	0.6030927835051546	0.8796992481203008	0.7155963302752294	117.0	16.0	77.0	133.0	0.5571428571428572	4.253251948480394	0.8697235794342922	0.2350596985378236
metalign_sensitve	CAMI_HIGH_S005	8.803433631411258	57902.98964132404	0.6223089942328869	0.9432989690721649	0.244	0.3877118644067797	183.0	567.0	11.0	750.0	0.240473061760841	4.559535626484736	0.6887439888107268	0.31115449711644394
CLARK	CAMI_HIGH_S005	7.50876885133505	12122.00114526892	1.0400637717358665	0.6907216494845361	0.09266943291839558	0.1634146341463415	134.0	1312.0	60.0	1446.0	0.08897742363877822	3.662028689880439	0.5032639736719707	0.5200318858679337
CommonKmers	CAMI_HIGH_S005	9.846750510755852	10200.864266413946	1.1436487283536783	0.27835051546391754	0.7714285714285715	0.4090909090909091	54.0	16.0	140.0	70.0	0.2571428571428571	3.4915915841614984	0.821841942908061	0.5718243641768389
FOCUS	CAMI_HIGH_S005	9.536079877381518	10055.871645380648	1.1284694000336335	0.31958762886597936	0.26495726495726496	0.28971962616822433	62.0	172.0	132.0	234.0	0.16939890710382513	4.702905285704005	0.8620767112066946	0.5642347000168173
Metaphlan2	CAMI_HIGH_S005	10.456179777093649	11033.42577206436	1.484691945151891	0.31958762886597936	0.7654320987654321	0.4509090909090908	62.0	19.0	132.0	81.0	0.29107981220657275	3.0307332586393247	0.6896730743640234	0.7423459725759457
Metaphyler	CAMI_HIGH_S005	9.185039708126375	15229.012348969376	1.0760583811990896	0.4381443298969072	0.1512455516014235	0.22486772486772488	85.0	477.0	109.0	562.0	0.12667660208643816	4.7983127571326	0.757847485618782	0.538029190599544
mOTU	CAMI_HIGH_S005	10.138406816052953	10394.126371717204	1.3359004322784196	0.33505154639175255	0.30952380952380953	0.3217821782178218	65.0	145.0	129.0	210.0	0.19174041297935104	3.602578866273794	0.673743485721598	0.6679502161392099
Quickr	CAMI_HIGH_S005	9.128505305309641	13645.78926424673	1.479322539559933	0.6030927835051546	0.18396226415094338	0.2819277108433734	117.0	519.0	77.0	636.0	0.1640953716690042	5.753699951959723	0.8913281126061253	0.7396612697799658
Taxy-Pro1	CAMI_HIGH_S005	9.691290141778696	15230.406923404955	1.2752982212413233	0.4072164948453608	0.17286652078774617	0.2427035330261137	79.0	378.0	115.0	457.0	0.1381118881118881	4.740531260303596	0.774004296671322	0.6376491106206618
Taxy-Pro2	CAMI_HIGH_S005	7.49736691449363	10221.035226760914	1.2889244902996133	0.4381443298969072	0.1512455516014235	0.22486772486772488	85.0	477.0	109.0	562.0	0.12667660208643816	4.852853006705387	0.7664615950142807	0.6444622451498069
TIPP	CAMI_HIGH_S005	9.384674217526042	10792.428599752122	1.1405291939295077	0.4381443298969072	0.19813519813519814	0.2728731942215088	85.0	344.0	109.0	429.0	0.1579925650557621	4.739631359716527	0.7438669324741835	0.570264596964754
