tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	0.6263626305100938	0.9166666666666666	0.9166666666666666	0.9166666666666666	11.0	1.0	1.0	12.0	0.8461538461538461	2.2347366022967288	0.8993241667599002	0.31318131525504694
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	0.616465988212922	0.8333333333333334	0.9090909090909091	0.8695652173913043	10.0	1.0	2.0	11.0	0.7692307692307693	2.226064649868348	0.9283410643995748	0.3082329941064611
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	0.6522195830769586	0.9166666666666666	0.6875	0.7857142857142857	11.0	5.0	1.0	16.0	0.6470588235294118	2.236324344034321	0.8065835102393947	0.32610979153847935
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	1.182655176489825	1.0	0.2033898305084746	0.33802816901408456	12.0	47.0	0.0	59.0	0.2033898305084746	1.8782763624229826	0.4606398808747302	0.5913275882449125
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	1.3535406101178216	0.5833333333333334	0.875	0.7000000000000001	7.0	1.0	5.0	8.0	0.5384615384615384	1.4410551075025206	0.6930010190805329	0.676770305058911
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	0.8951743964828701	1.0	0.5454545454545454	0.7058823529411764	12.0	10.0	0.0	22.0	0.5454545454545454	2.6355884041521875	0.8526535768826815	0.4475871982414351
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	1.4404057735525735	0.5	1.0	0.6666666666666666	6.0	0.0	6.0	6.0	0.5	1.3785074089966072	0.7693596337406329	0.7202028867762869
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	0.7157604617814924	0.9166666666666666	0.2619047619047619	0.4074074074074074	11.0	31.0	1.0	42.0	0.2558139534883721	2.2669014196266337	0.6065012831893294	0.3578802308907462
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	1.574908331261981	0.75	0.9	0.8181818181818182	9.0	1.0	3.0	10.0	0.6923076923076923	1.1332053466870462	0.49214482892944555	0.7874541656309906
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	0.6765629711907735	1.0	0.2727272727272727	0.42857142857142855	12.0	32.0	0.0	44.0	0.2727272727272727	2.735578104941352	0.7228966752675272	0.3382814855953869
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	0.949817887540688	0.9166666666666666	0.2619047619047619	0.4074074074074074	11.0	31.0	1.0	42.0	0.2558139534883721	2.643785461785179	0.7073352467678544	0.4749089437703441
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	0.9540063103950945	0.9166666666666666	0.22916666666666666	0.36666666666666664	11.0	37.0	1.0	48.0	0.22448979591836735	2.652955190142497	0.685305460157522	0.4770031551975473
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	0.9407287865657924	0.9166666666666666	0.275	0.4230769230769231	11.0	29.0	1.0	40.0	0.2682926829268293	2.06359680608936	0.5330637185397398	0.47036439328289625
