tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	0.7203809605581393	0.9375	0.6521739130434783	0.7692307692307693	15.0	8.0	1.0	23.0	0.625	2.246878553647855	0.7165947053045452	0.3601904802790697
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	0.7118935995095318	0.8125	0.8125	0.8125	13.0	3.0	3.0	16.0	0.6842105263157895	2.224112441189395	0.8021789973208466	0.35594679975476595
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	0.7463997342347022	1.0	0.23529411764705882	0.38095238095238093	16.0	52.0	0.0	68.0	0.23529411764705882	2.2767818464023373	0.5395847111759955	0.3731998671173511
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	1.5731033910306147	0.8125	0.036931818181818184	0.07065217391304349	13.0	339.0	3.0	352.0	0.036619718309859155	2.2053651452146235	0.3761091172296787	0.7865516955153075
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	1.4862065383985523	0.4375	0.5	0.4666666666666667	7.0	7.0	9.0	14.0	0.30434782608695654	1.2952589257414637	0.4908036332542637	0.743103269199276
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	1.3438821075091223	0.625	0.14705882352941177	0.2380952380952381	10.0	58.0	6.0	68.0	0.13513513513513514	3.710666067766065	0.8794073448933767	0.6719410537545615
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	1.559748717122673	0.375	0.8571428571428571	0.5217391304347825	6.0	1.0	10.0	7.0	0.35294117647058826	1.2973066735339376	0.6666837490743058	0.7798743585613365
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	0.9312586697452998	0.8125	0.06467661691542288	0.11981566820276496	13.0	188.0	3.0	201.0	0.06372549019607843	3.464164585274279	0.6532086397691411	0.4656293348726503
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	1.6595857980643365	0.625	0.2	0.30303030303030304	10.0	40.0	6.0	50.0	0.17857142857142858	1.4102348896651933	0.3604873712931686	0.8297928990321682
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	1.4266055608044383	0.8125	0.07065217391304347	0.13	13.0	171.0	3.0	184.0	0.06951871657754011	4.332105538579753	0.8307111995116877	0.7133027804022191
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	1.3320855890747043	0.8125	0.07103825136612021	0.13065326633165827	13.0	170.0	3.0	183.0	0.06989247311827956	3.697003164610841	0.709667528839553	0.6660427945373524
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	1.3718924362802083	0.8125	0.06132075471698113	0.11403508771929824	13.0	199.0	3.0	212.0	0.06046511627906977	3.790384385691181	0.7076119362836677	0.6859462181401039
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	1.0465573575342768	0.8125	0.07303370786516854	0.13402061855670103	13.0	165.0	3.0	178.0	0.0718232044198895	2.9515516393925103	0.5449588117294119	0.5232786787671373
