tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	0.5794254478805039	0.8181818181818182	0.6206896551724138	0.7058823529411765	18.0	11.0	4.0	29.0	0.5454545454545454	2.435185817013453	0.7231873705088854	0.2897127239402518
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	0.5667037199033813	0.7272727272727273	0.8	0.761904761904762	16.0	4.0	6.0	20.0	0.6153846153846154	2.4151182689144908	0.8061862838127761	0.28335185995169065
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	0.6077955332240996	0.9545454545454546	0.17647058823529413	0.2978723404255319	21.0	98.0	1.0	119.0	0.175	2.520416787107489	0.5273805522582403	0.30389776661204987
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	1.7532165048369253	0.45454545454545453	0.006910850034554251	0.013614703880190607	10.0	1437.0	12.0	1447.0	0.006854009595613434	2.4385967132695403	0.33509876327905713	0.8766082524184599
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	1.7444224438906475	0.3181818181818182	0.22580645161290322	0.2641509433962264	7.0	24.0	15.0	31.0	0.15217391304347827	1.6582216571059198	0.4828852172017732	0.8722112219453235
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	1.7378214495815933	0.13636363636363635	0.027777777777777776	0.04615384615384615	3.0	105.0	19.0	108.0	0.023622047244094488	4.220672310555274	0.9014425495176958	0.8689107247907967
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	1.6585352585974804	0.3181818181818182	0.7777777777777778	0.45161290322580644	7.0	2.0	15.0	9.0	0.2916666666666667	1.5245582846818684	0.6938563769981808	0.82926762929874
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	1.7437157428082053	0.2727272727272727	0.011494252873563218	0.022058823529411766	6.0	516.0	16.0	522.0	0.011152416356877323	4.18945612580336	0.6694916383727112	0.8718578714041019
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	1.7756579417014182	0.22727272727272727	0.050505050505050504	0.08264462809917354	5.0	94.0	17.0	99.0	0.04310344827586207	1.5092006375051463	0.3284355330712304	0.8878289708507091
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	1.5484629842363882	0.5454545454545454	0.026785714285714284	0.05106382978723404	12.0	436.0	10.0	448.0	0.026200873362445413	5.095146204067388	0.8346140499916338	0.7742314921181932
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	1.7999367857161186	0.36363636363636365	0.02203856749311295	0.041558441558441565	8.0	355.0	14.0	363.0	0.021220159151193633	4.035304949137811	0.684599451818955	0.8999683928580595
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	1.8037684332058836	0.36363636363636365	0.01639344262295082	0.03137254901960784	8.0	480.0	14.0	488.0	0.01593625498007968	4.197681874403168	0.6781046843645675	0.9018842166029418
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	1.760071105468439	0.2727272727272727	0.01749271137026239	0.03287671232876713	6.0	337.0	16.0	343.0	0.016713091922005572	3.4693601913317127	0.5493528934536116	0.880035552734221
