tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	0.8909092441117882	0.8571428571428571	0.7058823529411765	0.7741935483870968	12.0	5.0	2.0	17.0	0.631578947368421	2.315316704604813	0.817205209576647	0.4454546220558942
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	0.8839534801477434	0.7857142857142857	0.7857142857142857	0.7857142857142857	11.0	3.0	3.0	14.0	0.6470588235294118	2.303006851499416	0.8726626836239157	0.4419767400738717
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	0.9117142500839286	0.8571428571428571	0.36363636363636365	0.5106382978723404	12.0	21.0	2.0	33.0	0.34285714285714286	2.3325803807021153	0.6671172133040665	0.45585712504196424
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	1.1855800202464355	0.9285714285714286	0.09285714285714286	0.16883116883116886	13.0	127.0	1.0	140.0	0.09219858156028368	2.0465397107170875	0.4141416022643877	0.5927900101232177
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	1.3615178253803688	0.5714285714285714	0.8888888888888888	0.6956521739130435	8.0	1.0	6.0	9.0	0.5333333333333333	1.4605217026829131	0.6647120725609033	0.6807589126901844
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	0.9797283967473409	0.8571428571428571	0.2857142857142857	0.42857142857142855	12.0	30.0	2.0	42.0	0.2727272727272727	3.013018125005425	0.8061221115603149	0.4898641983736705
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	1.4404042809798645	0.5	1.0	0.6666666666666666	7.0	0.0	7.0	7.0	0.5	1.4930757179885494	0.7672891365068409	0.7202021404899323
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	0.7232329828246225	0.8571428571428571	0.12903225806451613	0.22429906542056074	12.0	81.0	2.0	93.0	0.12631578947368421	2.551841025404737	0.562997244574429	0.3616164914123113
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	1.5828608904243413	0.7857142857142857	0.5789473684210527	0.6666666666666667	11.0	8.0	3.0	19.0	0.5	1.2905939701134486	0.43831574681802743	0.7914304452121709
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	0.920354703099253	1.0	0.15053763440860216	0.2616822429906542	14.0	79.0	0.0	93.0	0.15053763440860216	3.2283444898683986	0.7122501105039156	0.46017735154962663
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	1.021857826306818	0.8571428571428571	0.1276595744680851	0.2222222222222222	12.0	82.0	2.0	94.0	0.125	3.216749523089704	0.7080213099187223	0.510928913153409
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	1.047997518192419	0.8571428571428571	0.11320754716981132	0.2	12.0	94.0	2.0	106.0	0.1111111111111111	3.25801703562066	0.6986296957826993	0.5239987590962096
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	0.9524729605711465	0.8571428571428571	0.1348314606741573	0.23300970873786406	12.0	77.0	2.0	89.0	0.13186813186813187	2.2891554933338467	0.49288605180865636	0.4762364802855732
