tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	0.3133265003452388	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	1.6511802326618825	0.9215412341999575	0.15666325017261942
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	0.298277534788579	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	1.6576352542729973	0.9251438503557387	0.14913876739428947
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	0.3506864442418111	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	1.6333580915187162	0.9115945078400602	0.17534322212090556
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	0.7245996418034596	1.0	0.13953488372093023	0.24489795918367346	6.0	37.0	0.0	43.0	0.13953488372093023	1.1145337245204676	0.29632396316008	0.3622998209017297
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	0.9765300426484151	0.6666666666666666	0.8	0.7272727272727272	4.0	1.0	2.0	5.0	0.5714285714285714	0.7985070715575242	0.4961403390515816	0.4882650213242076
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	0.4971366034215845	1.0	0.35294117647058826	0.5217391304347826	6.0	11.0	0.0	17.0	0.35294117647058826	1.7905886509793623	0.6319992296859074	0.24856830171079225
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	1.3548699825965826	0.5	1.0	0.6666666666666666	3.0	0.0	3.0	3.0	0.5	0.3825550236005191	0.348216588824348	0.6774349912982913
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	0.4946505005532606	1.0	0.2727272727272727	0.42857142857142855	6.0	16.0	0.0	22.0	0.2727272727272727	1.3620933789470326	0.44065825672085573	0.24732525027663027
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	1.4906325363233606	0.8333333333333334	1.0	0.9090909090909091	5.0	0.0	1.0	5.0	0.8333333333333334	0.20177175756838364	0.1253678417847295	0.7453162681616804
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	0.4521158962848236	1.0	0.17647058823529413	0.3	6.0	28.0	0.0	34.0	0.17647058823529413	2.0336048485627356	0.5766865963837008	0.22605794814241179
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	0.6891582181119889	1.0	0.20689655172413793	0.34285714285714286	6.0	23.0	0.0	29.0	0.20689655172413793	1.734093109577623	0.5149809215261578	0.34457910905599437
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	0.6933063545951292	1.0	0.1935483870967742	0.3243243243243243	6.0	25.0	0.0	31.0	0.1935483870967742	1.7529365853239187	0.510466836636549	0.34665317729756456
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	0.7869624018612281	1.0	0.2608695652173913	0.41379310344827586	6.0	17.0	0.0	23.0	0.2608695652173913	1.2560844895614363	0.3811124581187892	0.393481200930614
