tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	1.579072763890328	0.782608695652174	0.16666666666666666	0.2748091603053435	18.0	90.0	5.0	108.0	0.1592920353982301	2.549124991306181	0.54443689586032	0.789536381945164
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	1.5806841145448272	0.6521739130434783	0.7142857142857143	0.6818181818181819	15.0	6.0	8.0	21.0	0.5172413793103449	2.4246158532436293	0.7963862651170552	0.7903420572724135
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	1.5790665961736707	0.782608695652174	0.03578528827037773	0.06844106463878326	18.0	485.0	5.0	503.0	0.03543307086614173	2.7868669211159958	0.4480068361538294	0.7895332980868347
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	na	0.0	0.0	na	0.0	0.0	23.0	0.0	0.0	na	na	na
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	1.9340932614627726	0.21739130434782608	0.07352941176470588	0.1098901098901099	5.0	63.0	18.0	68.0	0.05813953488372093	2.356702934131985	0.558525567151115	0.9670466307313859
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	1.9654557307693625	0.08695652173913043	0.01282051282051282	0.0223463687150838	2.0	154.0	21.0	156.0	0.011299435028248588	4.574422860332417	0.9058521379154987	0.9827278653846813
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	1.9340932614627717	0.21739130434782608	1.0	0.3571428571428571	5.0	0.0	18.0	5.0	0.21739130434782608	1.1061915489696617	0.6873154536894603	0.9670466307313861
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	1.9346309464600138	0.17391304347826086	0.0034334763948497852	0.006734006734006734	4.0	1161.0	19.0	1165.0	0.0033783783783783786	4.706150475883637	0.6665485771677421	0.9673154732300082
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	1.9346309464600153	0.17391304347826086	0.025	0.04371584699453552	4.0	156.0	19.0	160.0	0.0223463687150838	1.5639045088449584	0.3081479700558601	0.9673154732300082
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	1.8158679172496457	0.34782608695652173	0.01045751633986928	0.02030456852791878	8.0	757.0	15.0	765.0	0.010256410256410256	5.557074632696013	0.8369244804828664	0.907933958624822
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	1.9353858267847346	0.21739130434782608	0.010309278350515464	0.01968503937007874	5.0	480.0	18.0	485.0	0.009940357852882704	4.05278515524486	0.6553505141481935	0.9676929133923667
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	na	0.0	0.0	na	0.0	0.0	23.0	0.0	0.0	na	na	na
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	1.9346309464600264	0.17391304347826086	0.008368200836820083	0.015968063872255488	4.0	474.0	19.0	478.0	0.008048289738430584	3.633660978439992	0.5238583381510297	0.9673154732300082
