tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	1.8407009557942635	0.15	0.08333333333333333	0.10714285714285714	9.0	99.0	51.0	108.0	0.05660377358490566	2.5491249913061833	0.5444368958603204	0.9203504778971324
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	1.8415149509102953	0.13333333333333333	0.38095238095238093	0.19753086419753085	8.0	13.0	52.0	21.0	0.1095890410958904	2.4246158532436293	0.7963862651170552	0.9207574754551472
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	1.8407009557942693	0.15	0.017892644135188866	0.03197158081705151	9.0	494.0	51.0	503.0	0.016245487364620937	2.7868669211159953	0.44800683615382936	0.9203504778971326
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	2.0	0.0	0.0	na	0.0	29.0	60.0	29.0	0.0	1.722138697349366	0.5114307694659199	1.0
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	2.0000000000000018	0.0	0.0	na	0.0	121.0	60.0	121.0	0.0	4.331664752252103	0.9032222552399051	1.0
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	2.0000000000000004	0.0	0.0	na	0.0	3.0	60.0	3.0	0.0	0.7224361051192647	0.657589681611064	1.0
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	1.9999999999999993	0.0	0.0	na	0.0	684.0	60.0	684.0	0.0	4.531062321337027	0.6941010310598352	1.0
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	na	0.0	0.0	na	0.0	0.0	60.0	0.0	0.0	na	na	na
