tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_low_S001	8.587752044834104	1056.0698170670937	0.3633196700497119	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0009538754345180249	0.0013761513590049598	0.18165983502485594
metalign_precise	CAMI_low_S001	8.597631855996646	646.9864140725209	0.3635051463723374	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.1817525731861687
metalign_sensitve	CAMI_low_S001	8.577456213111732	4882.007297651369	0.3634112390715509	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0005149090430881659	0.0007428567229721785	0.18170561953577546
CLARK	CAMI_low_S001	10.190240322419527	9760.420685041057	0.3632084761262104	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.009436470364435096	0.008589445486610472	0.18160423806310516
CommonKmers	CAMI_low_S001	12.534383922723883	954.8594490417427	0.3635051463723373	0.5	0.5	0.5	1.0	1.0	1.0	2.0	0.3333333333333333	0.009552544147190322	0.01378140806902437	0.18175257318616866
FOCUS	CAMI_low_S001	11.59382718995043	1951.2161170661736	0.36350514637233744	0.5	0.5	0.5	1.0	1.0	1.0	2.0	0.3333333333333333	0.1508076260039453	0.21756941416412937	0.18175257318616872
Metaphlan2	CAMI_low_S001	12.850184554915032	773.2005681814431	0.3635051463723374	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.1817525731861687
Metaphyler	CAMI_low_S001	10.905558150053698	12063.829811168423	0.3635051463723373	0.5	0.5	0.5	1.0	1.0	1.0	2.0	0.3333333333333333	0.006114987155553601	0.008822061644416889	0.18175257318616864
mOTU	CAMI_low_S001	13.15404910727147	2469.019410213786	0.3635051463723374	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.0	0.0	0.1817525731861687
Quickr	CAMI_low_S001	9.890727222205905	8954.270681023796	0.3635051463723373	0.5	0.3333333333333333	0.4	1.0	2.0	1.0	3.0	0.25	0.21909661617540732	0.19943033446405978	0.18175257318616864
Taxy-Pro1	CAMI_low_S001	11.802809726350231	9954.849070588547	0.3635051463723373	0.5	0.5	0.5	1.0	1.0	1.0	2.0	0.3333333333333333	0.016548522296469644	0.023874471051157194	0.18175257318616864
Taxy-Pro2	CAMI_low_S001	9.591299827997476	3994.6958247107045	0.36350514637233744	0.5	0.5	0.5	1.0	1.0	1.0	2.0	0.3333333333333333	0.01867982249176374	0.026949287273553668	0.18175257318616872
TIPP	CAMI_low_S001	11.443238652415282	6160.687593276242	0.3635051463723372	0.5	0.5	0.5	1.0	1.0	1.0	2.0	0.3333333333333333	0.020965325389330856	0.030246570969811103	0.1817525731861686
