tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	family	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	order	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	species	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_low_S001	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_low_S001	0.47404061812816134
Gold standard	superkingdom	Shannon equitability	CAMI_low_S001	0.6838960489534373
Gold standard	phylum	Shannon diversity	CAMI_low_S001	1.6471831966453048
Gold standard	phylum	Shannon equitability	CAMI_low_S001	0.9193104459243974
Gold standard	class	Shannon diversity	CAMI_low_S001	2.1395668019073213
Gold standard	class	Shannon equitability	CAMI_low_S001	0.8610250216400919
Gold standard	order	Shannon diversity	CAMI_low_S001	2.1801058886115756
Gold standard	order	Shannon equitability	CAMI_low_S001	0.8260926597336966
Gold standard	family	Shannon diversity	CAMI_low_S001	2.0921900724845233
Gold standard	family	Shannon equitability	CAMI_low_S001	0.7545980605426357
Gold standard	genus	Shannon diversity	CAMI_low_S001	2.215396739956548
Gold standard	genus	Shannon equitability	CAMI_low_S001	0.7167150802311345
Gold standard	species	Shannon diversity	CAMI_low_S001	1.395716779280865
Gold standard	species	Shannon equitability	CAMI_low_S001	0.4451345412121158
Gold standard	strain	Shannon diversity	CAMI_low_S001	2.0822879184699703
Gold standard	strain	Shannon equitability	CAMI_low_S001	0.5085766199754966
Gold standard	superkingdom	F1 score	CAMI_low_S001	1.0
Gold standard	superkingdom	False negatives	CAMI_low_S001	0.0
Gold standard	superkingdom	False positives	CAMI_low_S001	0.0
Gold standard	superkingdom	Jaccard index	CAMI_low_S001	1.0
Gold standard	superkingdom	Taxon counts	CAMI_low_S001	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_low_S001	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	superkingdom	True positives	CAMI_low_S001	2.0
Gold standard	order	F1 score	CAMI_low_S001	1.0
Gold standard	order	False negatives	CAMI_low_S001	0.0
Gold standard	order	False positives	CAMI_low_S001	0.0
Gold standard	order	Jaccard index	CAMI_low_S001	1.0
Gold standard	order	Taxon counts	CAMI_low_S001	14.0
Gold standard	order	Purity (precision)	CAMI_low_S001	1.0
Gold standard	order	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	order	True positives	CAMI_low_S001	14.0
Gold standard	strain	F1 score	CAMI_low_S001	1.0
Gold standard	strain	False negatives	CAMI_low_S001	0.0
Gold standard	strain	False positives	CAMI_low_S001	0.0
Gold standard	strain	Jaccard index	CAMI_low_S001	1.0
Gold standard	strain	Taxon counts	CAMI_low_S001	60.0
Gold standard	strain	Purity (precision)	CAMI_low_S001	1.0
Gold standard	strain	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	strain	True positives	CAMI_low_S001	60.0
Gold standard	phylum	F1 score	CAMI_low_S001	1.0
Gold standard	phylum	False negatives	CAMI_low_S001	0.0
Gold standard	phylum	False positives	CAMI_low_S001	0.0
Gold standard	phylum	Jaccard index	CAMI_low_S001	1.0
Gold standard	phylum	Taxon counts	CAMI_low_S001	6.0
Gold standard	phylum	Purity (precision)	CAMI_low_S001	1.0
Gold standard	phylum	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	phylum	True positives	CAMI_low_S001	6.0
Gold standard	class	F1 score	CAMI_low_S001	1.0
Gold standard	class	False negatives	CAMI_low_S001	0.0
Gold standard	class	False positives	CAMI_low_S001	0.0
Gold standard	class	Jaccard index	CAMI_low_S001	1.0
Gold standard	class	Taxon counts	CAMI_low_S001	12.0
Gold standard	class	Purity (precision)	CAMI_low_S001	1.0
Gold standard	class	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	class	True positives	CAMI_low_S001	12.0
Gold standard	genus	F1 score	CAMI_low_S001	1.0
Gold standard	genus	False negatives	CAMI_low_S001	0.0
Gold standard	genus	False positives	CAMI_low_S001	0.0
Gold standard	genus	Jaccard index	CAMI_low_S001	1.0
Gold standard	genus	Taxon counts	CAMI_low_S001	22.0
Gold standard	genus	Purity (precision)	CAMI_low_S001	1.0
Gold standard	genus	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	genus	True positives	CAMI_low_S001	22.0
Gold standard	family	F1 score	CAMI_low_S001	1.0
Gold standard	family	False negatives	CAMI_low_S001	0.0
Gold standard	family	False positives	CAMI_low_S001	0.0
Gold standard	family	Jaccard index	CAMI_low_S001	1.0
Gold standard	family	Taxon counts	CAMI_low_S001	16.0
Gold standard	family	Purity (precision)	CAMI_low_S001	1.0
Gold standard	family	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	family	True positives	CAMI_low_S001	16.0
Gold standard	species	F1 score	CAMI_low_S001	1.0
Gold standard	species	False negatives	CAMI_low_S001	0.0
Gold standard	species	False positives	CAMI_low_S001	0.0
Gold standard	species	Jaccard index	CAMI_low_S001	1.0
Gold standard	species	Taxon counts	CAMI_low_S001	23.0
Gold standard	species	Purity (precision)	CAMI_low_S001	1.0
Gold standard	species	Completeness (recall)	CAMI_low_S001	1.0
Gold standard	species	True positives	CAMI_low_S001	23.0
Gold standard	class	L1 norm error	CAMI_low_S001	0.0
Gold standard	family	L1 norm error	CAMI_low_S001	0.0
Gold standard	genus	L1 norm error	CAMI_low_S001	0.0
Gold standard	order	L1 norm error	CAMI_low_S001	0.0
Gold standard	phylum	L1 norm error	CAMI_low_S001	0.0
Gold standard	species	L1 norm error	CAMI_low_S001	0.0
Gold standard	strain	L1 norm error	CAMI_low_S001	0.0
Gold standard	superkingdom	L1 norm error	CAMI_low_S001	0.0
Gold standard	na	Weighted UniFrac error	CAMI_low_S001	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_low_S001	0.0
metalign_default	class	Bray-Curtis distance	CAMI_low_S001	0.31318131525504694
metalign_default	family	Bray-Curtis distance	CAMI_low_S001	0.3601904802790697
metalign_default	genus	Bray-Curtis distance	CAMI_low_S001	0.2897127239402518
metalign_default	order	Bray-Curtis distance	CAMI_low_S001	0.4454546220558942
metalign_default	phylum	Bray-Curtis distance	CAMI_low_S001	0.15666325017261942
metalign_default	species	Bray-Curtis distance	CAMI_low_S001	0.789536381945164
metalign_default	strain	Bray-Curtis distance	CAMI_low_S001	0.9203504778971324
metalign_default	superkingdom	Bray-Curtis distance	CAMI_low_S001	0.18165983502485594
metalign_default	superkingdom	Shannon diversity	CAMI_low_S001	0.0009538754345180249
metalign_default	superkingdom	Shannon equitability	CAMI_low_S001	0.0013761513590049598
metalign_default	phylum	Shannon diversity	CAMI_low_S001	1.6511802326618825
metalign_default	phylum	Shannon equitability	CAMI_low_S001	0.9215412341999575
metalign_default	class	Shannon diversity	CAMI_low_S001	2.2347366022967288
metalign_default	class	Shannon equitability	CAMI_low_S001	0.8993241667599002
metalign_default	order	Shannon diversity	CAMI_low_S001	2.315316704604813
metalign_default	order	Shannon equitability	CAMI_low_S001	0.817205209576647
metalign_default	family	Shannon diversity	CAMI_low_S001	2.246878553647855
metalign_default	family	Shannon equitability	CAMI_low_S001	0.7165947053045452
metalign_default	genus	Shannon diversity	CAMI_low_S001	2.435185817013453
metalign_default	genus	Shannon equitability	CAMI_low_S001	0.7231873705088854
metalign_default	species	Shannon diversity	CAMI_low_S001	2.549124991306181
metalign_default	species	Shannon equitability	CAMI_low_S001	0.54443689586032
metalign_default	strain	Shannon diversity	CAMI_low_S001	2.5491249913061833
metalign_default	strain	Shannon equitability	CAMI_low_S001	0.5444368958603204
metalign_default	superkingdom	F1 score	CAMI_low_S001	1.0
metalign_default	superkingdom	False negatives	CAMI_low_S001	0.0
metalign_default	superkingdom	False positives	CAMI_low_S001	0.0
metalign_default	superkingdom	Jaccard index	CAMI_low_S001	1.0
metalign_default	superkingdom	Taxon counts	CAMI_low_S001	2.0
metalign_default	superkingdom	Purity (precision)	CAMI_low_S001	1.0
metalign_default	superkingdom	Completeness (recall)	CAMI_low_S001	1.0
metalign_default	superkingdom	True positives	CAMI_low_S001	2.0
metalign_default	order	F1 score	CAMI_low_S001	0.7741935483870968
metalign_default	order	False negatives	CAMI_low_S001	2.0
metalign_default	order	False positives	CAMI_low_S001	5.0
metalign_default	order	Jaccard index	CAMI_low_S001	0.631578947368421
metalign_default	order	Taxon counts	CAMI_low_S001	17.0
metalign_default	order	Purity (precision)	CAMI_low_S001	0.7058823529411765
metalign_default	order	Completeness (recall)	CAMI_low_S001	0.8571428571428571
metalign_default	order	True positives	CAMI_low_S001	12.0
metalign_default	strain	F1 score	CAMI_low_S001	0.10714285714285714
metalign_default	strain	False negatives	CAMI_low_S001	51.0
metalign_default	strain	False positives	CAMI_low_S001	99.0
metalign_default	strain	Jaccard index	CAMI_low_S001	0.05660377358490566
metalign_default	strain	Taxon counts	CAMI_low_S001	108.0
metalign_default	strain	Purity (precision)	CAMI_low_S001	0.08333333333333333
metalign_default	strain	Completeness (recall)	CAMI_low_S001	0.15
metalign_default	strain	True positives	CAMI_low_S001	9.0
metalign_default	phylum	F1 score	CAMI_low_S001	1.0
metalign_default	phylum	False negatives	CAMI_low_S001	0.0
metalign_default	phylum	False positives	CAMI_low_S001	0.0
metalign_default	phylum	Jaccard index	CAMI_low_S001	1.0
metalign_default	phylum	Taxon counts	CAMI_low_S001	6.0
metalign_default	phylum	Purity (precision)	CAMI_low_S001	1.0
metalign_default	phylum	Completeness (recall)	CAMI_low_S001	1.0
metalign_default	phylum	True positives	CAMI_low_S001	6.0
metalign_default	class	F1 score	CAMI_low_S001	0.9166666666666666
metalign_default	class	False negatives	CAMI_low_S001	1.0
metalign_default	class	False positives	CAMI_low_S001	1.0
metalign_default	class	Jaccard index	CAMI_low_S001	0.8461538461538461
metalign_default	class	Taxon counts	CAMI_low_S001	12.0
metalign_default	class	Purity (precision)	CAMI_low_S001	0.9166666666666666
metalign_default	class	Completeness (recall)	CAMI_low_S001	0.9166666666666666
metalign_default	class	True positives	CAMI_low_S001	11.0
