tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S001	9.768873093197554	2762.3207487077802	0.903850512914812	0.676056338028169	0.7868852459016393	0.7272727272727273	48.0	13.0	23.0	61.0	0.5714285714285714	3.106304364304061	0.755631154576603	0.4519252564574059
metalign_precise	CAMI_MED_S001	9.788096202506068	2298.0952956231317	0.9075659432481575	0.5774647887323944	0.8367346938775511	0.6833333333333335	41.0	8.0	30.0	49.0	0.5189873417721519	3.082300574875025	0.7919945780568025	0.45378297162407905
metalign_sensitve	CAMI_MED_S001	9.788241815597239	20370.91517974993	0.9641886571268059	0.9014084507042254	0.14678899082568808	0.252465483234714	64.0	372.0	7.0	436.0	0.14446952595936793	3.4814536853313034	0.5728296510281061	0.4820943285634035
CLARK	CAMI_MED_S001	8.867268896388975	9514.883619059729	1.2463327529331591	0.7323943661971831	0.03770848440899202	0.07172413793103448	52.0	1327.0	19.0	1379.0	0.03719599427753934	3.0456768303493327	0.42130707605881984	0.6231663764665817
CommonKmers	CAMI_MED_S001	10.923179320832848	2616.5665556069816	1.2704230561158725	0.323943661971831	0.6571428571428571	0.4339622641509434	23.0	12.0	48.0	35.0	0.27710843373493976	2.5234408758352345	0.709759166245487	0.6352115280579361
FOCUS	CAMI_MED_S001	10.609550336970344	3092.474433407531	1.4762041261693684	0.323943661971831	0.17692307692307693	0.2288557213930348	23.0	107.0	48.0	130.0	0.12921348314606743	4.018395848155604	0.8255505716614904	0.7381020630846836
Metaphlan2	CAMI_MED_S001	11.125596816721272	2545.2369392803416	1.2953361605907003	0.39436619718309857	0.7777777777777778	0.5233644859813084	28.0	8.0	43.0	36.0	0.35443037974683544	2.4866361679208864	0.6939090348416592	0.6476680802953503
Metaphyler	CAMI_MED_S001	10.103722118759865	12374.702531092058	1.3803708666245555	0.5070422535211268	0.06716417910447761	0.11861614497528832	36.0	500.0	35.0	536.0	0.06304728546409807	4.103821293519035	0.6530448250041424	0.6901854333122764
mOTU	CAMI_MED_S001	11.113832141066585	3287.5803456119447	1.4447111266525703	0.4225352112676056	0.2631578947368421	0.3243243243243243	30.0	84.0	41.0	114.0	0.1935483870967742	2.2803663182322094	0.4814760916543143	0.7223555633262853
Quickr	CAMI_MED_S001	9.997834570310141	10315.758267393294	1.6503565703537975	0.5915492957746479	0.07850467289719626	0.13861386138613863	42.0	493.0	29.0	535.0	0.07446808510638298	5.4377447479019505	0.8655704966027868	0.8251782851768982
Taxy-Pro1	CAMI_MED_S001	11.06161394423546	8640.994830083566	1.5279568978413847	0.352112676056338	0.07598784194528875	0.125	25.0	304.0	46.0	329.0	0.06666666666666667	4.081788409851383	0.7042352898075215	0.7639784489206928
Taxy-Pro2	CAMI_MED_S001	8.970007695423522	4175.601586848087	1.5387316906072572	0.4084507042253521	0.059063136456211814	0.10320284697508897	29.0	462.0	42.0	491.0	0.054409005628517824	4.230278968389603	0.6826946037348153	0.7693658453036281
TIPP	CAMI_MED_S001	10.286082617575106	6674.658167168188	1.3015932384527757	0.4647887323943662	0.09510086455331412	0.15789473684210528	33.0	314.0	38.0	347.0	0.08571428571428572	3.910790022707859	0.6176717807913968	0.6507966192263875
