tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S001	9.768873093197554	2762.3207487077802	1.9666680666638667	0.04741379310344827	0.041666666666666664	0.044354838709677415	11.0	253.0	221.0	264.0	0.02268041237113402	3.47701948600745	0.6235744662815318	0.9833340333319335
metalign_precise	CAMI_MED_S001	9.788096202506068	2298.0952956231317	1.9692200615598765	0.03017241379310345	0.1044776119402985	0.046822742474916385	7.0	60.0	225.0	67.0	0.023972602739726026	3.3708488894886104	0.8016873513995098	0.9846100307799385
metalign_sensitve	CAMI_MED_S001	9.788241815597239	20370.91517974993	1.9663542482650354	0.0603448275862069	0.006386861313868613	0.011551155115511552	14.0	2178.0	218.0	2192.0	0.005809128630705394	4.840036414879275	0.6291833075693916	0.9831771241325205
CLARK	CAMI_MED_S001	8.867268896388975	9514.883619059729	na	0.0	0.0	na	0.0	0.0	232.0	0.0	0.0	na	na	na
CommonKmers	CAMI_MED_S001	10.923179320832848	2616.5665556069816	2.0000000000000004	0.0	0.0	na	0.0	27.0	232.0	27.0	0.0	2.1102401010817324	0.6402744392018584	1.0
FOCUS	CAMI_MED_S001	10.609550336970344	3092.474433407531	2.0000000000000013	0.0	0.0	na	0.0	157.0	232.0	157.0	0.0	4.3397255380145054	0.8582900644237086	1.0
Metaphlan2	CAMI_MED_S001	11.125596816721272	2545.2369392803416	2.0000000000000004	0.0	0.0	na	0.0	26.0	232.0	26.0	0.0	2.019217756576863	0.6197538142326062	1.0
Metaphyler	CAMI_MED_S001	10.103722118759865	12374.702531092058	na	0.0	0.0	na	0.0	0.0	232.0	0.0	0.0	na	na	na
mOTU	CAMI_MED_S001	11.113832141066585	3287.5803456119447	na	0.0	0.0	na	0.0	0.0	232.0	0.0	0.0	na	na	na
Quickr	CAMI_MED_S001	9.997834570310141	10315.758267393294	na	0.0	0.0	na	0.0	0.0	232.0	0.0	0.0	na	na	na
Taxy-Pro1	CAMI_MED_S001	11.06161394423546	8640.994830083566	1.9999999999999987	0.0	0.0	na	0.0	587.0	232.0	587.0	0.0	4.625949111057913	0.7256362511201412	1.0
Taxy-Pro2	CAMI_MED_S001	8.970007695423522	4175.601586848087	na	0.0	0.0	na	0.0	0.0	232.0	0.0	0.0	na	na	na
TIPP	CAMI_MED_S001	10.286082617575106	6674.658167168188	na	0.0	0.0	na	0.0	0.0	232.0	0.0	0.0	na	na	na
