tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S002	8.956607471113193	2538.242584727461	0.27186921712374357	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	1.964641706979032	0.7085947119455694	0.1359346085618718
metalign_precise	CAMI_MED_S002	8.971566601860438	2355.741975935433	0.2718908798800028	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	1.9646047274324914	0.7085813743934672	0.1359454399400014
metalign_sensitve	CAMI_MED_S002	8.986394008516363	25813.278385836584	0.3592990697528588	1.0	0.40540540540540543	0.5769230769230769	15.0	22.0	0.0	37.0	0.40540540540540543	1.955404318124731	0.5415255526240462	0.1796495348764294
CLARK	CAMI_MED_S002	8.737863778860268	9792.210378150316	0.6508158250673844	1.0	0.2542372881355932	0.4054054054054054	15.0	44.0	0.0	59.0	0.2542372881355932	1.7332901624942088	0.4250825863254257	0.3254079125336922
CommonKmers	CAMI_MED_S002	10.514437565425835	2421.697013075088	0.5426383745542167	0.6	1.0	0.7499999999999999	9.0	0.0	6.0	9.0	0.6	1.7518029407229823	0.7972798769831534	0.27131918727710835
FOCUS	CAMI_MED_S002	10.30836094004629	3760.793403139499	0.4683825952786188	0.9333333333333333	0.56	0.7000000000000001	14.0	11.0	1.0	25.0	0.5384615384615384	2.2208971237396264	0.6899604845211955	0.23419129763930932
Metaphlan2	CAMI_MED_S002	11.366007941073027	2347.86860351212	0.8344646168268572	0.7333333333333333	1.0	0.846153846153846	11.0	0.0	4.0	11.0	0.7333333333333333	1.5724759421381131	0.655773402606952	0.41723230841342857
Metaphyler	CAMI_MED_S002	9.589923119623982	11698.561285670403	0.22489980925882283	1.0	0.35714285714285715	0.5263157894736842	15.0	27.0	0.0	42.0	0.35714285714285715	2.056118644155101	0.5501071132925419	0.11244990462941142
mOTU	CAMI_MED_S002	11.633738386490938	5328.2509536638	0.8815281530920629	0.8666666666666667	1.0	0.9285714285714286	13.0	0.0	2.0	13.0	0.8666666666666667	1.4666450481881812	0.5718027312787498	0.4407640765460314
Quickr	CAMI_MED_S002	9.54246645181975	10364.148115546643	0.4327412900315688	1.0	0.30612244897959184	0.46874999999999994	15.0	34.0	0.0	49.0	0.30612244897959184	2.58473012540419	0.6641442634591856	0.21637064501578446
Taxy-Pro1	CAMI_MED_S002	10.09630159532254	11646.474425647542	0.37007152213632	1.0	0.36585365853658536	0.5357142857142857	15.0	26.0	0.0	41.0	0.36585365853658536	2.158273361131601	0.5811852637740806	0.18503576106815994
Taxy-Pro2	CAMI_MED_S002	8.06271226888992	4503.1565620108495	0.37964807466165246	1.0	0.30612244897959184	0.46874999999999994	15.0	34.0	0.0	49.0	0.30612244897959184	2.1848420382279596	0.5613933508925479	0.1898240373308262
TIPP	CAMI_MED_S002	10.03156040993196	8054.6746969801425	0.25296331373855646	1.0	0.375	0.5454545454545454	15.0	25.0	0.0	40.0	0.375	1.9594148650747862	0.5061516721952022	0.12648165686927818
