tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S002	8.956607471113193	2538.242584727461	0.3480016123264874	0.8113207547169812	0.9148936170212766	0.8600000000000001	43.0	4.0	10.0	47.0	0.7543859649122807	3.0210974879565327	0.7846705634388407	0.17400080616324368
metalign_precise	CAMI_MED_S002	8.971566601860438	2355.741975935433	0.34890756139746837	0.7735849056603774	0.9534883720930233	0.8541666666666667	41.0	2.0	12.0	43.0	0.7454545454545455	3.0163828325659447	0.801973503079542	0.17445378069873413
metalign_sensitve	CAMI_MED_S002	8.986394008516363	25813.278385836584	0.4291179985490611	0.9811320754716981	0.29714285714285715	0.456140350877193	52.0	123.0	1.0	175.0	0.29545454545454547	3.1829637883820747	0.6162818371279157	0.21455899927453032
CLARK	CAMI_MED_S002	8.737863778860268	9792.210378150316	1.0522015761522454	0.9433962264150944	0.14492753623188406	0.25125628140703515	50.0	295.0	3.0	345.0	0.14367816091954022	2.714032101038037	0.4644496400383007	0.5261007880761219
CommonKmers	CAMI_MED_S002	10.514437565425835	2421.697013075088	0.9698010165912225	0.49056603773584906	0.9629629629629629	0.65	26.0	1.0	27.0	27.0	0.48148148148148145	2.304270279826914	0.6991457324829521	0.48490050829561115
FOCUS	CAMI_MED_S002	10.30836094004629	3760.793403139499	0.9102601290396625	0.7358490566037735	0.34513274336283184	0.4698795180722891	39.0	74.0	14.0	113.0	0.30708661417322836	3.9766804361795303	0.8412003814112102	0.45513006451983146
Metaphlan2	CAMI_MED_S002	11.366007941073027	2347.86860351212	1.1200312338936604	0.6226415094339622	0.9705882352941176	0.7586206896551724	33.0	1.0	20.0	34.0	0.6111111111111112	2.074046674869964	0.5881550285037065	0.5600156169468302
Metaphyler	CAMI_MED_S002	9.589923119623982	11698.561285670403	0.5632823780503935	0.9433962264150944	0.24752475247524752	0.39215686274509803	50.0	152.0	3.0	202.0	0.24390243902439024	3.6650997484505305	0.6904511899889434	0.28164118902519664
mOTU	CAMI_MED_S002	11.633738386490938	5328.2509536638	1.2010974087998034	0.7547169811320755	0.49382716049382713	0.5970149253731344	40.0	41.0	13.0	81.0	0.425531914893617	1.9188459353624263	0.4366522100550863	0.6005487043999016
Quickr	CAMI_MED_S002	9.54246645181975	10364.148115546643	1.158249910746542	0.8867924528301887	0.23039215686274508	0.3657587548638132	47.0	157.0	6.0	204.0	0.22380952380952382	4.275942968632353	0.8040328111403663	0.5791249553732714
Taxy-Pro1	CAMI_MED_S002	10.09630159532254	11646.474425647542	0.8714602125664572	0.9056603773584906	0.2594594594594595	0.40336134453781514	48.0	137.0	5.0	185.0	0.25263157894736843	3.8619258253144	0.7397821058024253	0.43573010628322834
Taxy-Pro2	CAMI_MED_S002	8.06271226888992	4503.1565620108495	0.8971780331553184	0.9056603773584906	0.2191780821917808	0.35294117647058826	48.0	171.0	5.0	219.0	0.21428571428571427	3.972422878916184	0.737125627209168	0.4485890165776592
TIPP	CAMI_MED_S002	10.03156040993196	8054.6746969801425	0.7182002292806982	0.9433962264150944	0.26455026455026454	0.41322314049586784	50.0	139.0	3.0	189.0	0.2604166666666667	3.435630410392778	0.6338175864290178	0.35910011464034947
