tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S002	8.956607471113193	2538.242584727461	0.7839607777900093	0.8620689655172413	0.8064516129032258	0.8333333333333334	25.0	6.0	4.0	31.0	0.7142857142857143	2.732266728303391	0.7956543124956217	0.3919803888950047
metalign_precise	CAMI_MED_S002	8.971566601860438	2355.741975935433	0.7846070019569116	0.8275862068965517	0.8275862068965517	0.8275862068965517	24.0	5.0	5.0	29.0	0.7058823529411765	2.7290560877481265	0.8104592603493019	0.3923035009784557
metalign_sensitve	CAMI_MED_S002	8.986394008516363	25813.278385836584	0.8799140826467446	0.9655172413793104	0.3373493975903614	0.5	28.0	55.0	1.0	83.0	0.3333333333333333	2.7995958263178973	0.6335589071437184	0.4399570413233723
CLARK	CAMI_MED_S002	8.737863778860268	9792.210378150316	0.7157584301700496	1.0	0.20714285714285716	0.3431952662721894	29.0	111.0	0.0	140.0	0.20714285714285716	2.2517217553646875	0.45566262444697997	0.35787921508502446
CommonKmers	CAMI_MED_S002	10.514437565425835	2421.697013075088	0.8260531559416172	0.5862068965517241	1.0	0.7391304347826086	17.0	0.0	12.0	17.0	0.5862068965517241	2.0613430796290264	0.7275636633413108	0.41302657797080855
FOCUS	CAMI_MED_S002	10.30836094004629	3760.793403139499	0.5988464755671501	0.7586206896551724	0.38596491228070173	0.5116279069767441	22.0	35.0	7.0	57.0	0.34375	2.9182460455087478	0.7217929855912399	0.299423237783575
Metaphlan2	CAMI_MED_S002	11.366007941073027	2347.86860351212	1.0652342406710695	0.7241379310344828	0.875	0.7924528301886793	21.0	3.0	8.0	24.0	0.65625	2.0195554627833916	0.635469243314322	0.5326171203355348
Metaphyler	CAMI_MED_S002	9.589923119623982	11698.561285670403	0.300166170236553	1.0	0.30851063829787234	0.47154471544715443	29.0	65.0	0.0	94.0	0.30851063829787234	2.621356831417084	0.5769726502552304	0.1500830851182765
mOTU	CAMI_MED_S002	11.633738386490938	5328.2509536638	1.0994821791357348	0.8275862068965517	0.7272727272727273	0.7741935483870968	24.0	9.0	5.0	33.0	0.631578947368421	1.8098416415805891	0.5176141077245427	0.5497410895678672
Quickr	CAMI_MED_S002	9.54246645181975	10364.148115546643	0.6461751695101221	0.9310344827586207	0.26732673267326734	0.41538461538461535	27.0	74.0	2.0	101.0	0.2621359223300971	3.2332225649259803	0.7005716433899117	0.32308758475506105
Taxy-Pro1	CAMI_MED_S002	10.09630159532254	11646.474425647542	0.505666021996761	0.9655172413793104	0.30434782608695654	0.46280991735537186	28.0	64.0	1.0	92.0	0.3010752688172043	2.8477741384001605	0.6297893167439162	0.2528330109983805
Taxy-Pro2	CAMI_MED_S002	8.06271226888992	4503.1565620108495	0.5158693267455307	0.9655172413793104	0.25925925925925924	0.40875912408759124	28.0	80.0	1.0	108.0	0.25688073394495414	2.9039962433851763	0.620229571217896	0.2579346633727653
TIPP	CAMI_MED_S002	10.03156040993196	8054.6746969801425	0.4412032943772421	1.0	0.32954545454545453	0.4957264957264957	29.0	59.0	0.0	88.0	0.32954545454545453	2.5179397849957716	0.5421463954425699	0.2206016471886208
