tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S002	8.956607471113193	2538.242584727461	0.2265263079085097	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	1.3183639079617588	0.7357929066950881	0.11326315395425485
metalign_precise	CAMI_MED_S002	8.971566601860438	2355.741975935433	0.22657270229566812	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	1.3183581140938079	0.7357896730758159	0.11328635114783406
metalign_sensitve	CAMI_MED_S002	8.986394008516363	25813.278385836584	0.2908237247332364	1.0	0.3157894736842105	0.4799999999999999	6.0	13.0	0.0	19.0	0.3157894736842105	1.2894364200873238	0.4379226158907727	0.14541186236661827
CLARK	CAMI_MED_S002	8.737863778860268	9792.210378150316	0.3254117641340496	1.0	0.13953488372093023	0.24489795918367346	6.0	37.0	0.0	43.0	0.13953488372093023	1.142658736044531	0.3038016326961177	0.16270588206702488
CommonKmers	CAMI_MED_S002	10.514437565425835	2421.697013075088	0.40622950150073833	0.6666666666666666	1.0	0.8	4.0	0.0	2.0	4.0	0.6666666666666666	1.1946097045593391	0.8617287482827941	0.20311475075036914
FOCUS	CAMI_MED_S002	10.30836094004629	3760.793403139499	0.33107769192813186	1.0	0.35294117647058826	0.5217391304347826	6.0	11.0	0.0	17.0	0.35294117647058826	1.680775345713934	0.5932399511106441	0.1655388459640659
Metaphlan2	CAMI_MED_S002	11.366007941073027	2347.86860351212	0.8064486839272295	0.8333333333333334	1.0	0.9090909090909091	5.0	0.0	1.0	5.0	0.8333333333333334	1.0306062420041775	0.6403516619323931	0.40322434196361473
Metaphyler	CAMI_MED_S002	9.589923119623982	11698.561285670403	0.1312629486237868	1.0	0.2857142857142857	0.4444444444444445	6.0	15.0	0.0	21.0	0.2857142857142857	1.4414159211850464	0.4734456554910076	0.0656314743118934
mOTU	CAMI_MED_S002	11.633738386490938	5328.2509536638	0.874887155862523	1.0	1.0	1.0	6.0	0.0	0.0	6.0	1.0	1.0349929320216336	0.5776405537667064	0.43744357793126143
Quickr	CAMI_MED_S002	9.54246645181975	10364.148115546643	0.3717140233983231	1.0	0.16216216216216217	0.27906976744186046	6.0	31.0	0.0	37.0	0.16216216216216217	2.0683460300881	0.5728033924131716	0.1858570116991616
Taxy-Pro1	CAMI_MED_S002	10.09630159532254	11646.474425647542	0.2534254249013331	1.0	0.2608695652173913	0.41379310344827586	6.0	17.0	0.0	23.0	0.2608695652173913	1.4848645938578908	0.47356636357815024	0.12671271245066654
Taxy-Pro2	CAMI_MED_S002	8.06271226888992	4503.1565620108495	0.263517380398901	1.0	0.18181818181818182	0.3076923076923077	6.0	27.0	0.0	33.0	0.18181818181818182	1.510467443394292	0.43199318658438207	0.13175869019945055
TIPP	CAMI_MED_S002	10.03156040993196	8054.6746969801425	0.15052258855169773	1.0	0.24	0.3870967741935484	6.0	19.0	0.0	25.0	0.24	1.4458343457813987	0.43868504557819327	0.07526129427584886
