tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S002	8.956607471113193	2538.242584727461	1.5438632039257498	0.6111111111111112	0.17254901960784313	0.2691131498470948	44.0	211.0	28.0	255.0	0.15547703180212014	3.545386380538859	0.6398155134917871	0.7719316019628748
metalign_precise	CAMI_MED_S002	8.971566601860438	2355.741975935433	1.5481988330198004	0.4722222222222222	0.4857142857142857	0.47887323943661975	34.0	36.0	38.0	70.0	0.3148148148148148	3.4491749111371375	0.8118580143385894	0.7740994165099
metalign_sensitve	CAMI_MED_S002	8.986394008516363	25813.278385836584	1.5483310258023155	0.7083333333333334	0.017857142857142856	0.03483606557377049	51.0	2805.0	21.0	2856.0	0.017726798748696558	4.580459785932476	0.5756387723606828	0.7741655129011611
CLARK	CAMI_MED_S002	8.737863778860268	9792.210378150316	na	0.0	0.0	na	0.0	0.0	72.0	0.0	0.0	na	na	na
CommonKmers	CAMI_MED_S002	10.514437565425835	2421.697013075088	1.767054364180912	0.2916666666666667	0.22105263157894736	0.251497005988024	21.0	74.0	51.0	95.0	0.14383561643835616	2.8356688445921048	0.6226933472493278	0.8835271820904556
FOCUS	CAMI_MED_S002	10.30836094004629	3760.793403139499	1.8397860691965733	0.08333333333333333	0.024489795918367346	0.037854889589905356	6.0	239.0	66.0	245.0	0.01929260450160772	4.6954457910597585	0.8535221600868689	0.9198930345982863
Metaphlan2	CAMI_MED_S002	11.366007941073027	2347.86860351212	1.7684765835396374	0.3333333333333333	0.6153846153846154	0.43243243243243246	24.0	15.0	48.0	39.0	0.27586206896551724	2.1191586359081613	0.5784421938544251	0.8842382917698184
Metaphyler	CAMI_MED_S002	9.589923119623982	11698.561285670403	1.8140119842929596	0.1527777777777778	0.009717314487632508	0.018272425249169433	11.0	1121.0	61.0	1132.0	0.009220452640402346	4.968278379525383	0.7065502265649768	0.9070059921464779
mOTU	CAMI_MED_S002	11.633738386490938	5328.2509536638	1.7870406495434203	0.2222222222222222	0.05177993527508091	0.08398950131233596	16.0	293.0	56.0	309.0	0.043835616438356165	2.1968090267829257	0.3831638342609874	0.8935203247717106
Quickr	CAMI_MED_S002	9.54246645181975	10364.148115546643	1.7959720429179513	0.2222222222222222	0.017777777777777778	0.03292181069958848	16.0	884.0	56.0	900.0	0.016736401673640166	5.921673731289271	0.8705277975363144	0.8979860214589755
Taxy-Pro1	CAMI_MED_S002	10.09630159532254	11646.474425647542	1.7950324522916554	0.1527777777777778	0.01903114186851211	0.033846153846153845	11.0	567.0	61.0	578.0	0.017214397496087636	4.425463553861715	0.695874227621099	0.8975162261458287
Taxy-Pro2	CAMI_MED_S002	8.06271226888992	4503.1565620108495	na	0.0	0.0	na	0.0	0.0	72.0	0.0	0.0	na	na	na
TIPP	CAMI_MED_S002	10.03156040993196	8054.6746969801425	1.808751645413008	0.1388888888888889	0.014534883720930232	0.026315789473684213	10.0	678.0	62.0	688.0	0.013333333333333334	4.351606925368916	0.6086234322863824	0.90437582270651
