tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_MED_S002	8.956607471113193	2538.242584727461	0.6629649309212127	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.11556912140884057	0.10519554769312611	0.33148246546060633
metalign_precise	CAMI_MED_S002	8.971566601860438	2355.741975935433	0.6630425681364314	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.1151137663102506	0.16607405979384957	0.3315212840682156
metalign_sensitve	CAMI_MED_S002	8.986394008516363	25813.278385836584	0.6658230055445682	1.0	0.75	0.8571428571428571	3.0	1.0	0.0	4.0	0.75	0.11440652156587484	0.08252686065422195	0.3329115027722841
CLARK	CAMI_MED_S002	8.737863778860268	9792.210378150316	0.6804974747549671	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.08375083722837887	0.07623329730810971	0.34024873737748357
CommonKmers	CAMI_MED_S002	10.514437565425835	2421.697013075088	0.6457158702283019	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.26409471104154947	0.3810081299446472	0.32285793511415095
FOCUS	CAMI_MED_S002	10.30836094004629	3760.793403139499	0.645715870228302	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.18184202751899875	0.26234259132685395	0.322857935114151
Metaphlan2	CAMI_MED_S002	11.366007941073027	2347.86860351212	0.5586114876491786	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5353810306892772	0.48732481532528676	0.27930574382458934
Metaphyler	CAMI_MED_S002	9.589923119623982	11698.561285670403	0.6457158702283021	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.16439929443525417	0.23717804680738575	0.32285793511415106
mOTU	CAMI_MED_S002	11.633738386490938	5328.2509536638	0.6457158702283021	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.41226210855218304	0.594768499554662	0.32285793511415106
Quickr	CAMI_MED_S002	9.54246645181975	10364.148115546643	0.6457158702283021	0.6666666666666666	0.6666666666666666	0.6666666666666666	2.0	1.0	1.0	3.0	0.5	0.2500031863161871	0.22756270696669129	0.322857935114151
Taxy-Pro1	CAMI_MED_S002	10.09630159532254	11646.474425647542	0.6550906640505122	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.12944586687632667	0.18675091020604942	0.3275453320252561
Taxy-Pro2	CAMI_MED_S002	8.06271226888992	4503.1565620108495	0.6554289149149453	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.12884844191960523	0.18588900818368412	0.32771445745747263
TIPP	CAMI_MED_S002	10.03156040993196	8054.6746969801425	0.6457158702283021	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.20980370988239336	0.3026827718074357	0.32285793511415106
