tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	family	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	order	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	species	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_MED_S002	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_MED_S002	0.76141303563941
Gold standard	superkingdom	Shannon equitability	CAMI_MED_S002	0.6930680127040091
Gold standard	phylum	Shannon diversity	CAMI_MED_S002	1.4256906043975879
Gold standard	phylum	Shannon equitability	CAMI_MED_S002	0.7956930764885641
Gold standard	class	Shannon diversity	CAMI_MED_S002	2.0593023289511594
Gold standard	class	Shannon equitability	CAMI_MED_S002	0.7604372799710277
Gold standard	order	Shannon diversity	CAMI_MED_S002	2.5341527837231417
Gold standard	order	Shannon equitability	CAMI_MED_S002	0.752578006706741
Gold standard	family	Shannon diversity	CAMI_MED_S002	3.0522957723207895
Gold standard	family	Shannon equitability	CAMI_MED_S002	0.7687837163565074
Gold standard	genus	Shannon diversity	CAMI_MED_S002	3.2216222198393076
Gold standard	genus	Shannon equitability	CAMI_MED_S002	0.7557739057982943
Gold standard	species	Shannon diversity	CAMI_MED_S002	1.8901387952912103
Gold standard	species	Shannon equitability	CAMI_MED_S002	0.4419654802807192
Gold standard	strain	Shannon diversity	CAMI_MED_S002	3.977568824024011
Gold standard	strain	Shannon equitability	CAMI_MED_S002	0.7302663140534644
Gold standard	species	F1 score	CAMI_MED_S002	1.0
Gold standard	species	False negatives	CAMI_MED_S002	0.0
Gold standard	species	False positives	CAMI_MED_S002	0.0
Gold standard	species	Jaccard index	CAMI_MED_S002	1.0
Gold standard	species	Taxon counts	CAMI_MED_S002	72.0
Gold standard	species	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	species	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	species	True positives	CAMI_MED_S002	72.0
Gold standard	order	F1 score	CAMI_MED_S002	1.0
Gold standard	order	False negatives	CAMI_MED_S002	0.0
Gold standard	order	False positives	CAMI_MED_S002	0.0
Gold standard	order	Jaccard index	CAMI_MED_S002	1.0
Gold standard	order	Taxon counts	CAMI_MED_S002	29.0
Gold standard	order	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	order	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	order	True positives	CAMI_MED_S002	29.0
Gold standard	strain	F1 score	CAMI_MED_S002	1.0
Gold standard	strain	False negatives	CAMI_MED_S002	0.0
Gold standard	strain	False positives	CAMI_MED_S002	0.0
Gold standard	strain	Jaccard index	CAMI_MED_S002	1.0
Gold standard	strain	Taxon counts	CAMI_MED_S002	232.0
Gold standard	strain	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	strain	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	strain	True positives	CAMI_MED_S002	232.0
Gold standard	genus	F1 score	CAMI_MED_S002	1.0
Gold standard	genus	False negatives	CAMI_MED_S002	0.0
Gold standard	genus	False positives	CAMI_MED_S002	0.0
Gold standard	genus	Jaccard index	CAMI_MED_S002	1.0
Gold standard	genus	Taxon counts	CAMI_MED_S002	71.0
Gold standard	genus	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	genus	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	genus	True positives	CAMI_MED_S002	71.0
Gold standard	class	F1 score	CAMI_MED_S002	1.0
Gold standard	class	False negatives	CAMI_MED_S002	0.0
Gold standard	class	False positives	CAMI_MED_S002	0.0
Gold standard	class	Jaccard index	CAMI_MED_S002	1.0
Gold standard	class	Taxon counts	CAMI_MED_S002	15.0
Gold standard	class	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	class	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	class	True positives	CAMI_MED_S002	15.0
Gold standard	phylum	F1 score	CAMI_MED_S002	1.0
Gold standard	phylum	False negatives	CAMI_MED_S002	0.0
Gold standard	phylum	False positives	CAMI_MED_S002	0.0
Gold standard	phylum	Jaccard index	CAMI_MED_S002	1.0
Gold standard	phylum	Taxon counts	CAMI_MED_S002	6.0
Gold standard	phylum	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	phylum	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	phylum	True positives	CAMI_MED_S002	6.0
Gold standard	superkingdom	F1 score	CAMI_MED_S002	1.0
Gold standard	superkingdom	False negatives	CAMI_MED_S002	0.0
Gold standard	superkingdom	False positives	CAMI_MED_S002	0.0
Gold standard	superkingdom	Jaccard index	CAMI_MED_S002	1.0
Gold standard	superkingdom	Taxon counts	CAMI_MED_S002	3.0
Gold standard	superkingdom	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	superkingdom	True positives	CAMI_MED_S002	3.0
Gold standard	family	F1 score	CAMI_MED_S002	1.0
Gold standard	family	False negatives	CAMI_MED_S002	0.0
Gold standard	family	False positives	CAMI_MED_S002	0.0
Gold standard	family	Jaccard index	CAMI_MED_S002	1.0
Gold standard	family	Taxon counts	CAMI_MED_S002	53.0
Gold standard	family	Purity (precision)	CAMI_MED_S002	1.0
Gold standard	family	Completeness (recall)	CAMI_MED_S002	1.0
Gold standard	family	True positives	CAMI_MED_S002	53.0
Gold standard	class	L1 norm error	CAMI_MED_S002	0.0
Gold standard	family	L1 norm error	CAMI_MED_S002	0.0
Gold standard	genus	L1 norm error	CAMI_MED_S002	0.0
Gold standard	order	L1 norm error	CAMI_MED_S002	0.0
Gold standard	phylum	L1 norm error	CAMI_MED_S002	0.0
Gold standard	species	L1 norm error	CAMI_MED_S002	0.0
Gold standard	strain	L1 norm error	CAMI_MED_S002	0.0
Gold standard	superkingdom	L1 norm error	CAMI_MED_S002	0.0
Gold standard	na	Weighted UniFrac error	CAMI_MED_S002	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_MED_S002	0.0
metalign_default	class	Bray-Curtis distance	CAMI_MED_S002	0.1359346085618718
metalign_default	family	Bray-Curtis distance	CAMI_MED_S002	0.17400080616324368
metalign_default	genus	Bray-Curtis distance	CAMI_MED_S002	0.21194873229863032
metalign_default	order	Bray-Curtis distance	CAMI_MED_S002	0.3919803888950047
metalign_default	phylum	Bray-Curtis distance	CAMI_MED_S002	0.11326315395425485
metalign_default	species	Bray-Curtis distance	CAMI_MED_S002	0.7719316019628748
metalign_default	strain	Bray-Curtis distance	CAMI_MED_S002	0.9501596012768103
metalign_default	superkingdom	Bray-Curtis distance	CAMI_MED_S002	0.33148246546060633
metalign_default	superkingdom	Shannon diversity	CAMI_MED_S002	0.11556912140884057
metalign_default	superkingdom	Shannon equitability	CAMI_MED_S002	0.10519554769312611
metalign_default	phylum	Shannon diversity	CAMI_MED_S002	1.3183639079617588
metalign_default	phylum	Shannon equitability	CAMI_MED_S002	0.7357929066950881
metalign_default	class	Shannon diversity	CAMI_MED_S002	1.964641706979032
metalign_default	class	Shannon equitability	CAMI_MED_S002	0.7085947119455694
metalign_default	order	Shannon diversity	CAMI_MED_S002	2.732266728303391
metalign_default	order	Shannon equitability	CAMI_MED_S002	0.7956543124956217
metalign_default	family	Shannon diversity	CAMI_MED_S002	3.0210974879565327
metalign_default	family	Shannon equitability	CAMI_MED_S002	0.7846705634388407
metalign_default	genus	Shannon diversity	CAMI_MED_S002	3.319752959757824
metalign_default	genus	Shannon equitability	CAMI_MED_S002	0.7787948087863525
metalign_default	species	Shannon diversity	CAMI_MED_S002	3.545386380538859
metalign_default	species	Shannon equitability	CAMI_MED_S002	0.6398155134917871
metalign_default	strain	Shannon diversity	CAMI_MED_S002	3.545386380538861
metalign_default	strain	Shannon equitability	CAMI_MED_S002	0.6398155134917874
metalign_default	species	F1 score	CAMI_MED_S002	0.2691131498470948
metalign_default	species	False negatives	CAMI_MED_S002	28.0
metalign_default	species	False positives	CAMI_MED_S002	211.0
metalign_default	species	Jaccard index	CAMI_MED_S002	0.15547703180212014
metalign_default	species	Taxon counts	CAMI_MED_S002	255.0
metalign_default	species	Purity (precision)	CAMI_MED_S002	0.17254901960784313
metalign_default	species	Completeness (recall)	CAMI_MED_S002	0.6111111111111112
metalign_default	species	True positives	CAMI_MED_S002	44.0
metalign_default	order	F1 score	CAMI_MED_S002	0.8333333333333334
metalign_default	order	False negatives	CAMI_MED_S002	4.0
metalign_default	order	False positives	CAMI_MED_S002	6.0
metalign_default	order	Jaccard index	CAMI_MED_S002	0.7142857142857143
metalign_default	order	Taxon counts	CAMI_MED_S002	31.0
metalign_default	order	Purity (precision)	CAMI_MED_S002	0.8064516129032258
metalign_default	order	Completeness (recall)	CAMI_MED_S002	0.8620689655172413
metalign_default	order	True positives	CAMI_MED_S002	25.0
metalign_default	strain	F1 score	CAMI_MED_S002	0.05749486652977412
metalign_default	strain	False negatives	CAMI_MED_S002	218.0
metalign_default	strain	False positives	CAMI_MED_S002	241.0
metalign_default	strain	Jaccard index	CAMI_MED_S002	0.02959830866807611
metalign_default	strain	Taxon counts	CAMI_MED_S002	255.0
metalign_default	strain	Purity (precision)	CAMI_MED_S002	0.054901960784313725
metalign_default	strain	Completeness (recall)	CAMI_MED_S002	0.0603448275862069
metalign_default	strain	True positives	CAMI_MED_S002	14.0
metalign_default	genus	F1 score	CAMI_MED_S002	0.8028169014084506
metalign_default	genus	False negatives	CAMI_MED_S002	14.0
metalign_default	genus	False positives	CAMI_MED_S002	14.0
metalign_default	genus	Jaccard index	CAMI_MED_S002	0.6705882352941176
metalign_default	genus	Taxon counts	CAMI_MED_S002	71.0
metalign_default	genus	Purity (precision)	CAMI_MED_S002	0.8028169014084507
metalign_default	genus	Completeness (recall)	CAMI_MED_S002	0.8028169014084507
metalign_default	genus	True positives	CAMI_MED_S002	57.0
metalign_default	class	F1 score	CAMI_MED_S002	0.967741935483871
metalign_default	class	False negatives	CAMI_MED_S002	0.0
metalign_default	class	False positives	CAMI_MED_S002	1.0
metalign_default	class	Jaccard index	CAMI_MED_S002	0.9375
metalign_default	class	Taxon counts	CAMI_MED_S002	16.0
metalign_default	class	Purity (precision)	CAMI_MED_S002	0.9375
metalign_default	class	Completeness (recall)	CAMI_MED_S002	1.0
metalign_default	class	True positives	CAMI_MED_S002	15.0
metalign_default	phylum	F1 score	CAMI_MED_S002	1.0
metalign_default	phylum	False negatives	CAMI_MED_S002	0.0
metalign_default	phylum	False positives	CAMI_MED_S002	0.0
metalign_default	phylum	Jaccard index	CAMI_MED_S002	1.0
metalign_default	phylum	Taxon counts	CAMI_MED_S002	6.0
metalign_default	phylum	Purity (precision)	CAMI_MED_S002	1.0
metalign_default	phylum	Completeness (recall)	CAMI_MED_S002	1.0
metalign_default	phylum	True positives	CAMI_MED_S002	6.0
metalign_default	superkingdom	F1 score	CAMI_MED_S002	1.0
metalign_default	superkingdom	False negatives	CAMI_MED_S002	0.0
metalign_default	superkingdom	False positives	CAMI_MED_S002	0.0
metalign_default	superkingdom	Jaccard index	CAMI_MED_S002	1.0
metalign_default	superkingdom	Taxon counts	CAMI_MED_S002	3.0
metalign_default	superkingdom	Purity (precision)	CAMI_MED_S002	1.0
